ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
3300AS0001,ntsgapat,AS0001,,Copeland Road,,,,,,Copeland Road,,,,NW-bound,,W,E0057594,Kirkby in Ashfield,,,,,,,0,UKOS,449207,356883,-1.266428,53.106897,BCT,MKD,PPT,,,,095,2005-03-24T00:00:00.000,2022-05-16T12:40:32.158,6,revise,active
3300AS0002,ntsgapaw,AS0002,,Copeland Road,,,,,,Copeland Road,,,,SE-bound,,E,E0057594,Kirkby in Ashfield,,,,,,,0,UKOS,449203,356896,-1.266485,53.107014,BCT,MKD,PPT,,,,095,2005-03-24T00:00:00.000,2022-05-16T12:46:40.594,5,revise,active
3300AS0003,ntsgapda,AS0003,,Sycamore Avenue,,,,,,Sycamore Avenue,,,,N-bound,,N,E0057594,Kirkby in Ashfield,,,,,,,0,UKOS,449247,356746,-1.265852,53.105663,BCT,MKD,OTH,,,,095,2004-01-15T00:00:00.000,2019-09-18T15:13:58.000,6,revise,active
3300AS0004,ntsgapdg,AS0004,,Banks Avenue,,,,,,Banks Avenue,,,,E-bound,,E,E0057594,Kirkby in Ashfield,,,,,,,0,UKOS,449426,356704,-1.263184,53.105268,BCT,MKD,OTH,,,,095,2004-01-15T00:00:00.000,2008-11-07T11:59:00.000,5,revise,active
3300AS0005,ntsgapdj,AS0005,,Banks Avenue,,,,,,Banks Avenue,,,,W-bound,,W,E0057594,Kirkby in Ashfield,,,,,,,0,UKOS,449422,356695,-1.263245,53.105187,BCT,MKD,OTH,,,,095,2004-01-15T00:00:00.000,2008-11-07T12:00:00.000,5,revise,active
3300AS0006,ntsgapdm,AS0006,,Wood Nook Close,,,,The Manor,,Nottingham Road,,,,adj,,W,E0050017,Selston,,,,,,,0,UKOS,447012,352744,-1.299816,53.069892,BCT,MKD,OTH,,,,095,2005-06-08T00:00:00.000,2008-11-10T10:02:00.000,4,revise,active
3300AS0007,ntsgapdp,AS0007,,Lea Lane,,,,Wildes Corner,,Nottingham Road,,,,opp,,E,E0050017,Selston,,,,,,,1,UKOS,446692,352750,-1.304591,53.069973,BCT,MKD,PPT,,,,095,2005-08-16T00:00:00.000,2008-11-10T09:59:00.000,5,revise,active
3300AS0008,ntsgapdt,AS0008,,Lea Lane,,,,Wildes Corner,,Nottingham Road,,,,adj,,NW,E0050017,Selston,,,,,,,1,UKOS,446609,352762,-1.305828,53.070089,BCT,MKD,PPT,,,,095,2005-08-16T00:00:00.000,2008-11-10T09:57:00.000,5,revise,active
3300AS0009,ntsgapdw,AS0009,,Infants School,,,,Infants School,,Nottingham Road,,,,adj,,E,E0050017,Selston,,,,,,,0,UKOS,446438,352885,-1.308362,53.071209,BCT,MKD,OTH,,,,095,2005-06-08T00:00:00.000,2022-03-08T09:30:01.000,8,revise,active
3300AS0010,ntsgapmg,AS0010,,Pine Close,,,,,,Rowan Drive,,,,adj,,SW,E0057594,Kirkby in Ashfield,,,,,,,0,UKOS,449597,356678,-1.260634,53.105018,BCT,MKD,OTH,,,,095,2005-04-26T00:00:00.000,2010-04-21T14:08:00.000,10,revise,active
3300AS0011,ntsgapmj,AS0011,,Bentinck Miners Welfare,,,,Bentinck Miners Welfare,,Sutton Road,,,,adj,,S,E0057594,Kirkby in Ashfield,,,,,,,0,UKOS,449009,356397,-1.269455,53.102547,BCT,MKD,OTH,,,,095,2005-04-26T00:00:00.000,2019-09-18T15:13:08.001,6,revise,active
3300AS0012,ntsgapmp,AS0012,,Garden Centre,,,,Garden Centre,,Main Road,,,,opp,,SE,E0020346,Jacksdale,,,,,,,0,UKOS,444884,351035,-1.331811,53.054713,BCT,MKD,OTH,,,,095,2005-06-07T00:00:00.000,2008-11-06T14:26:00.000,3,revise,active
3300AS0013,ntsgapmt,AS0013,,Infants School,,,,Infants School,,Nottingham Road,,,,opp,,W,E0050017,Selston,,,,,,,0,UKOS,446320,352864,-1.310125,53.071034,BCT,MKD,OTH,,,,095,2005-06-08T00:00:00.000,2022-03-08T09:33:06.314,8,revise,active
3300AS0014,ntsgapmw,AS0014,,Wentworth Road,,,,,,Sutton Road,,,,adj,,SW,E0057594,Kirkby in Ashfield,,,,,,,0,UKOS,449149,357186,-1.267248,53.109626,BCT,MKD,OTH,,,,095,2005-03-24T00:00:00.000,2008-11-06T15:47:00.000,3,revise,active
3300AS0015,ntsgapta,AS0015,,Raymond Close,,,,,,Sutton Road,,,,opp,,S,E0057594,Kirkby in Ashfield,,,,,,,0,UKOS,449156,357421,-1.267107,53.111737,BCT,MKD,OTH,,,,095,2005-04-26T00:00:00.000,2008-11-07T13:28:00.000,3,revise,active
3300AS0016,ntsgaptd,AS0016,,Searwood Avenue,,,,,,Sutton Road,,,,adj,,NE,E0057594,Kirkby in Ashfield,,,,,,,0,UKOS,449076,357050,-1.268359,53.10841,BCT,MKD,OTH,,,,095,2005-03-24T00:00:00.000,2023-05-23T15:12:15.160,4,revise,active
3300AS0017,ntsgaptg,AS0017,,Mayfield Street,,,,,,Pinxton Lane,,,,opp,,NW,E0020326,Bentinck Town,,,,,,,0,UKOS,448521,355409,-1.276896,53.093711,BCT,MKD,OTH,,,,095,2005-03-22T00:00:00.000,2008-11-04T15:34:00.000,4,revise,active
3300AS0018,ntsgaptj,AS0018,,Frederick Avenue,,,,,,Sutton Road,,,,adj,,N,E0057594,Kirkby in Ashfield,,,,,,,0,UKOS,449015,356793,-1.269307,53.106106,BCT,MKD,OTH,,,,095,2005-03-24T00:00:00.000,2019-09-18T15:16:15.000,5,revise,active
3300AS0019,ntsgaptm,AS0019,,Farlex Fields,,,,Farlex Fields,,Kirkby Lane,,,,adj,,NE,N0078463,Pinxton Green,,,,,,,1,UKOS,446651,355326,-1.304824,53.093132,BCT,MKD,OTH,,,,095,2005-07-08T00:00:00.000,2023-06-15T15:21:01.001,8,revise,active
3300AS0020,ntsgaptp,AS0020,,Kirkby Cross,,,,Kirkby Cross,,Sutton Road,,,,N-bound,,N,E0057594,Kirkby in Ashfield,,,,,,,0,UKOS,449003,356254,-1.26957,53.101262,BCT,MKD,PPT,,,,095,2005-04-26T00:00:00.000,2008-11-07T09:00:00.000,4,revise,active
3300AS0021,ntsgaptw,AS0021,,Mayfield Street,,,,,,Pinxton Lane,,,,adj,,SE,E0020326,Bentinck Town,,,,,,,0,UKOS,448552,355401,-1.276434,53.093636,BCT,MKD,OTH,,,,095,2005-03-22T00:00:00.000,2008-11-04T15:33:00.000,3,revise,active
3300AS0022,ntsdwdwt,AS0022,,St Helens House,,,,St Helens House,,Pinxton Lane,,,,adj,,SE,E0020326,Bentinck Town,,,,,,,0,UKOS,448264,355589,-1.280706,53.095352,BCT,MKD,OTH,,,,095,2005-04-26T00:00:00.000,2009-07-16T08:50:00.000,5,revise,active
3300AS0023,ntsdwgad,AS0023,,Franderground Farm,,,,Franderground Farm,,Pinxton Lane,,,,opp,,W,E0020326,Bentinck Town,,,,,,,0,UKOS,447990,355633,-1.284791,53.095772,BCT,MKD,OTH,,,,095,2005-04-26T00:00:00.000,2023-05-23T15:07:23.062,7,revise,active
3300AS0024,ntsdwgag,AS0024,,Langton Suites,,,,Langton Suites,,Kirkby Lane,,,,opp,,E,N0078463,Pinxton Green,,,,,,,0,UKOS,447432,355495,-1.293144,53.094581,BCT,MKD,OTH,,,,095,2005-04-26T00:00:00.000,2023-05-23T15:02:56.361,9,revise,active
3300AS0025,ntsdwgaj,AS0025,,Cliff Lane,,,,,,Kirkby Lane,,,,adj,,NE,N0078463,Pinxton Green,,,,,,,0,UKOS,447086,355395,-1.298325,53.093713,BCT,MKD,OTH,,,,095,2005-04-26T00:00:00.000,2009-07-16T09:03:00.000,7,revise,active
3300AS0026,ntsdwgam,AS0026,,Frederick Avenue,,,,,,Sutton Road,,,,opp,,S,E0057594,Kirkby in Ashfield,,,,,,,0,UKOS,449039,356793,-1.268953,53.106103,BCT,MKD,OTH,,,,095,2005-03-24T00:00:00.000,2019-09-18T15:18:05.000,5,revise,active
3300AS0027,ntsdwgap,AS0027,,Church Lane,,,,,,Commonside,,,,opp,,SE,E0020362,Selston Commonside,Selston,,,,,,1,UKOS,446437,353945,-1.308224,53.080737,BCT,MKD,OTH,,,,095,2005-07-20T00:00:00.000,2008-11-17T12:35:00.000,4,revise,active
3300AS0028,ntsdwgat,AS0028,,Kirkby Cross,,,,Kirkby Cross,,Church Street,,,,S-bound,,S,E0057594,Kirkby in Ashfield,,,,,,,0,UKOS,448996,356167,-1.269688,53.100481,BCT,MKD,PPT,,,,095,2005-04-26T00:00:00.000,2008-11-07T09:01:00.000,4,revise,active
3300AS0029,ntsdwgaw,AS0029,,Duke of Wellington,,,,Duke of Wellington,,Church Street,,,,adj,,S,E0057594,Kirkby in Ashfield,,,,,,,0,UKOS,449003,355927,-1.26962,53.098323,BCT,MKD,OTH,,,,095,2005-03-22T00:00:00.000,2023-05-23T15:09:49.632,5,revise,active
3300AS0030,ntsdwgda,AS0030,,Laburnum Avenue,,,,Bentinck Bridge,,Church Hill,,,,adj,,SW,E0020326,Bentinck Town,,,,,,,1,UKOS,448837,355433,-1.272174,53.093898,BCT,MKD,OTH,,,,095,2005-07-20T00:00:00.000,2008-11-04T15:28:00.000,4,revise,active
3300AS0031,ntsdwgdg,AS0031,,Laburnum Avenue,,,,Bentinck Bridge,,Church Hill,,,,opp,,NE,E0020326,Bentinck Town,,,,,,,1,UKOS,448849,355485,-1.271987,53.094364,BCT,MKD,OTH,,,,095,2005-06-24T00:00:00.000,2008-11-04T15:30:00.000,6,revise,active
3300AS0032,ntsdwgdj,AS0032,,Park Lane,,,,,,Park Lane,,,,S-bound,,S,E0020326,Bentinck Town,,,,,,,0,UKOS,448659,355184,-1.274869,53.091676,BCT,MKD,PPT,,,,095,2005-04-26T00:00:00.000,2009-07-16T09:26:00.000,6,revise,active
3300AS0033,ntsdwgdm,AS0033,,Park Lane,,,,,,Park Lane,,,,NE-bound,,NE,E0050017,Selston,,,,,,,0,UKOS,447133,353671,-1.297875,53.078213,BCT,MKD,PPT,,,,095,2005-02-16T00:00:00.000,2012-03-12T10:08:00.000,7,revise,inactive
3300AS0034,ntsgawjt,AS0034,,Miners Welfare,,,,Miners Welfare,,Main Road,,,,adj,,SE,E0020346,Jacksdale,,,,,,,0,UKOS,444690,351266,-1.334673,53.056805,BCT,MKD,PPT,,,,095,2005-02-17T00:00:00.000,2008-11-06T14:45:00.000,5,revise,active
3300AS0035,ntsdtwdp,AS0035,,Miners Welfare,,,,Miners Welfare,,Main Road,,,,opp,,NW,E0020346,Jacksdale,,,,,,,0,UKOS,444640,351330,-1.33541,53.057385,BCT,MKD,PPT,,,,095,2005-02-17T00:00:00.000,2008-11-06T14:44:00.000,4,revise,active
3300AS0036,ntsdtwdt,AS0036,,War Memorial,,,,War Memorial,,Main Road,,,,adj,,S,E0020346,Jacksdale,,,,,,,1,UKOS,444576,351561,-1.336333,53.059466,BCT,MKD,PPT,,,,095,2005-08-22T00:00:00.000,2024-01-12T10:47:00.792,8,revise,active
3300AS0037,ntsdtwdw,AS0037,,Station Road,,,,Railway Inn,,Station Road,,,,N-bound,,N,E0020362,Selston Commonside,Selston,,,,,,0,UKOS,446347,354464,-1.309493,53.085409,BCT,MKD,OTH,,,,095,2005-02-15T00:00:00.000,2008-11-17T12:53:00.000,4,revise,active
