ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
049000000801,mltagdtw,,,Milton Keynes Coachway,,,,Milton Keynes Coachway,,Milton Keynes Coachway,,,,Bay 1,,,N0075992,Brook Furlong,Milton Keynes,,Milton Keynes,,Brook Furlong,,1,UKOS,489305,240481,-0.6989476,52.0555374,BCS,,PTP,,,,032,2010-11-15T17:04:00.000,2014-11-12T17:00:00.000,9,revise,active
049000000802,mltagdwa,,,Milton Keynes Coachway,,,,Milton Keynes Coachway,,Milton Keynes Coachway,,,,Bay 2,,,N0075992,Brook Furlong,Milton Keynes,,Milton Keynes,,Brook Furlong,,1,UKOS,489310,240485,-0.6988737,52.0555725,BCS,,PTP,,,,032,2010-11-16T17:03:00.000,2014-11-12T17:00:00.000,6,revise,active
049000000803,mltagdwd,,,Milton Keynes Coachway,,,,Milton Keynes Coachway,,Milton Keynes Coachway,,,,Bay 3,,,N0075992,Brook Furlong,Milton Keynes,,Milton Keynes,,Brook Furlong,,1,UKOS,489315,240489,-0.6987997,52.0556077,BCS,,PTP,,,,032,2010-11-16T17:03:00.000,2014-11-12T17:00:00.000,6,revise,active
049000000804,mltagdwg,,,Milton Keynes Coachway,,,,Milton Keynes Coachway,,Milton Keynes Coachway,,,,Bay 4,,,N0075992,Brook Furlong,Milton Keynes,,Milton Keynes,,Brook Furlong,,1,UKOS,489320,240494,-0.6987255,52.0556518,BCS,,PTP,,,,032,2010-11-16T17:04:00.000,2014-11-12T17:00:00.000,6,revise,active
049000000805,mltagdwj,,,Milton Keynes Coachway,,,,Milton Keynes Coachway,,Milton Keynes Coachway,,,,Bay 5,,,N0075992,Brook Furlong,Milton Keynes,,Milton Keynes,,Brook Furlong,,1,UKOS,489325,240498,-0.6986516,52.0556870,BCS,,PTP,,,,032,2010-11-16T17:04:00.000,2014-11-12T17:00:00.000,6,revise,active
049000000806,mltagdwm,,,Milton Keynes Coachway,,,,Milton Keynes Coachway,,Milton Keynes Coachway,,,,Bay 6,,,N0075992,Brook Furlong,Milton Keynes,,Milton Keynes,,Brook Furlong,,1,UKOS,489330,240503,-0.6985774,52.0557311,BCS,,PTP,,,,032,2010-11-16T17:05:00.000,2014-11-12T17:00:00.000,4,revise,active
049000000807,mltagdwp,,,Milton Keynes Coachway,,,,Milton Keynes Coachway,,Milton Keynes Coachway,,,,Bay 7,,,N0075992,Brook Furlong,Milton Keynes,,Milton Keynes,,Brook Furlong,,1,UKOS,489335,240507,-0.6985034,52.0557663,BCS,,PTP,,,,032,2010-11-16T17:05:00.000,2014-11-12T17:00:00.000,5,revise,active
049000000911,mltagmam,,,Central Railway Station,,,,Milton Keynes Central Railway Station Stop Y1,,Elder Gate,,,,Stop Y1,,NW,E0057200,Central Milton Keynes,Milton Keynes,,Milton Keynes,,Central Milton Keynes Railway Station,,1,UKOS,484259,238060,-0.7731180,52.0345653,BCT,MKD,OTH,,,,032,2012-05-04T15:05:00.000,2016-07-25T13:19:00.000,3,revise,active
049000000912,mltagmap,,,Central Railway Station,,,,Milton Keynes Central Railway Station Stop Y2,,Elder Gate,,,,Stop Y2,,NW,E0057200,Central Milton Keynes,Milton Keynes,,Milton Keynes,,Central Milton Keynes Railway Station,,1,UKOS,484269,238045,-0.7729759,52.0344289,BCT,MKD,OTH,,,,032,2012-05-04T15:06:00.000,2016-07-25T13:20:00.000,3,revise,active
049000000913,mltagmat,,,Central Railway Station,,,,Milton Keynes Central Railway Station Stop Y3,,Elder Gate,,,,Stop Y3,,NW,E0057200,Central Milton Keynes,Milton Keynes,,Milton Keynes,,Central Milton Keynes Railway Station,,1,UKOS,484282,238028,-0.7727906,52.0342742,BCT,MKD,OTH,,,,032,2012-05-04T15:04:00.000,2016-07-25T13:21:00.000,3,revise,active
049000000914,mltagjwa,,,Central Railway Station,,,,Milton Keynes Central Railway Station Stop Y4,,Elder Gate,,,,Stop Y4,,NW,E0057200,Central Milton Keynes,Milton Keynes,,Milton Keynes,,Central Milton Keynes Railway Station,,1,UKOS,484269,238067,-0.7729705,52.0346267,BCT,MKD,OTH,,,,032,2012-05-04T14:58:00.000,2016-07-25T13:22:00.000,3,revise,active
049000000915,mltagjwd,,,Central Railway Station,,,,Milton Keynes Central Railway Station Stop Y5,,Elder Gate,,,,Stop Y5,,NW,E0057200,Central Milton Keynes,Milton Keynes,,Milton Keynes,,Central Milton Keynes Railway Station,,1,UKOS,484279,238054,-0.7728280,52.0345083,BCT,MKD,OTH,,,,032,2012-05-04T14:59:00.000,2016-07-25T13:23:00.000,3,revise,active
049000000916,mltagjwg,,,Central Railway Station,,,,Milton Keynes Central Railway Station Stop Y6,,Elder Gate,,,,Stop Y6,,NW,E0057200,Central Milton Keynes,Milton Keynes,,Milton Keynes,,Central Milton Keynes Railway Station,,1,UKOS,484293,238033,-0.7726291,52.0343174,BCT,MKD,OTH,,,,032,2012-05-04T15:00:00.000,2016-07-25T13:24:00.000,4,revise,active
049000000917,mltagjwp,,,Central Railway Station,,,,Milton Keynes Central Railway Station Stop Z1,,Elder Gate,,,,Stop Z1,,NW,E0057200,Central Milton Keynes,Milton Keynes,,Milton Keynes,,Central Milton Keynes Railway Station,,1,UKOS,484233,238095,-0.7734883,52.0348838,BCT,MKD,OTH,,,,032,2012-05-04T15:07:00.000,2016-07-25T13:26:00.000,3,revise,active
049000000918,mltagjwm,,,Central Railway Station,,,,Milton Keynes Central Railway Station Stop Z2,,Elder Gate,,,,Stop Z2,,NW,E0057200,Central Milton Keynes,Milton Keynes,,Milton Keynes,,Central Milton Keynes Railway Station,,1,UKOS,484220,238115,-0.7736728,52.0350656,BCT,MKD,OTH,,,,032,2012-05-04T15:09:00.000,2016-07-25T13:28:00.000,3,revise,active
049000000919,mltagjwj,,,Central Railway Station,,,,Milton Keynes Central Railway Station Stop Z3,,Elder Gate,,,,Stop Z3,,NW,E0057200,Central Milton Keynes,Milton Keynes,,Milton Keynes,,Central Milton Keynes Railway Station,,1,UKOS,484208,238129,-0.7738443,52.0351932,BCT,MKD,OTH,,,,032,2012-05-04T15:10:00.000,2016-07-25T13:29:00.000,3,revise,active
