ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
228000001961,gritwap,,,Main Road,,,,Home Farm,,Main Road,,,,W-bound,,W,E0053480,Aylesby,,,,,,,1,UKOS,520565,407576,-0.181666,53.550998,BCT,MKD,PPT,,,,036,2004-07-19T00:00:00.000,2009-02-26T14:12:00.000,3,revise,active
228000001962,griwdap,,,Main Road,,,,Home Farm,,Main Road,,,,E-bound,,E,E0053480,Aylesby,,,,,,,1,UKOS,520573,407587,-0.181542,53.551095,BCT,MKD,PPT,,,,036,2004-07-16T00:00:00.000,2014-11-18T16:30:11.001,4,revise,inactive
228000003293,griwgap,,,Laceby bypass,,,,Grimsby Road,,Laceby Village,,,,SW-bound,,N,E0053493,Laceby,,,Grimsby,,,,0,UKOS,520879,405966,-0.17755,53.536462,BCT,MKD,PPT,,,,036,2003-11-06T00:00:00.000,2023-02-03T14:19:22.469,4,revise,inactive
228000003294,griwjap,,,Grimsby Road A46,,,,,,Grimsby Road,,,,o/s 146,,NE,E0053493,Laceby,,,,,,,0,UKOS,520759,405915,-0.179379,53.536032,BCT,MKD,PPT,,,,036,2003-11-06T00:00:00.000,2020-08-27T09:59:40.846,8,revise,active
228000003295,griwmap,,,Laceby bypass,,,,Grimsby Road,,Laceby Village,,,,NE-bound,,S,E0053493,Laceby,,,Grimsby,,,,0,UKOS,520758,405914,-0.179395,53.536023,BCT,MKD,PPT,,,,036,2004-06-24T00:00:00.000,2023-02-03T14:24:25.313,5,revise,inactive
228000003296,griwpap,,,Grimsby Road A46,,,,,,Grimsby Road,,,,opp 146,,SW,E0053493,Laceby,,,,,,,0,UKOS,520879,405965,-0.177551,53.536453,BCT,MKD,PPT,,,,036,2003-11-06T00:00:00.000,2020-08-27T10:00:31.441,8,revise,active
228000004531,griwtap,,,Evesham Avenue,,,,,,Broadway,,,,opp,,E,E0053483,Bradley,Grimsby,,Grimsby,,,,0,UKOS,524136,408158,-0.127565,53.555396,BCT,MKD,PPT,,,,036,2003-11-06T00:00:00.000,2009-02-26T15:22:00.000,3,revise,active
228000004532,griadat,,,Evesham Avenue,,,,,,Broadway,,,,adj,,W,E0053483,Bradley,Grimsby,,Grimsby,,,,0,UKOS,524137,408149,-0.127554,53.555314,BCT,MKD,PPT,,,,036,2003-11-06T00:00:00.000,2009-02-26T15:23:00.000,3,revise,active
228000004692,griagat,,,Crowland Avenue,,,,,,Laceby Road,,,,opp,,W,N0065282,Grange,Grimsby,,Grimsby,,,,0,UKOS,524695,407584,-0.119353,53.550108,BCT,MKD,PPT,,,,036,2003-11-06T00:00:00.000,2019-06-03T14:42:11.000,6,revise,active
228000004693,griajat,,,Crowland Avenue,,,,,,Laceby Road,,,,adj,,E,N0065282,Grange,Grimsby,,Grimsby,,,,0,UKOS,524777,407594,-0.118111,53.550176,BCT,MKD,PPT,,,,036,2003-11-06T00:00:00.000,2019-06-03T14:45:59.001,5,revise,active
