ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
03700001,slgadmt,,,Huntercombe Lane,,,,Kinnaird Close,,Bath Road,,,,E-bound,,E,N0072218,Burnham,Slough,,Slough,,,,0,UKOS,493160,181046,-0.658677,51.520658,BCT,MKD,OTH,,,,050,2003-08-28T00:00:00.000,2014-01-08T09:04:07.000,3,revise,active
03700002,slgadmw,,,Westlands Avenue,,,,Greenfern Avenue,,Westlands Avenue,,,,N-bound,,N,N0072218,Burnham,Slough,,Slough,,Burnham,,0,UKOS,493309,181271,-0.656471,51.522656,BCT,MKD,OTH,,,,050,2003-08-28T00:00:00.000,2010-04-05T21:45:00.000,1,revise,active
03700004,slgadpa,,,Goldsworthy Way,,,,Goldsworthy Way middle,,Goldsworthy Way,,,,nr 48,,S,N0072218,Burnham,Slough,,Slough,,Burnham,,0,UKOS,493400,181264,-0.655161,51.522578,BCT,MKD,TIP,,,,050,2003-08-28T00:00:00.000,2010-04-05T17:54:00.000,1,revise,active
03700006,slgadpd,,,St Andrews Way,,,,Bath Road,,St Andrews Way,,,,o/s 7,,S,E0041739,Cippenham,Slough,,Slough,,Cippenham,,0,UKOS,493749,180917,-0.650225,51.519401,BCT,MKD,TIP,,,,050,2004-12-23T00:00:00.000,2010-04-05T20:43:00.000,3,revise,active
03700008,slgadpg,,,Dennis Way,,,,St Georges Cres south end,,St Andrews Way,,,,o/s 56,,N,E0041739,Cippenham,Slough,,Slough,,Cippenham,,0,UKOS,493767,180688,-0.650026,51.51734,BCT,MKD,OTH,,,,050,2004-05-19T00:00:00.000,2008-03-05T11:31:00.000,1,revise,active
03700009,slgadpj,,,Dennis Way,,,,Dennis Way,,St Andrews Way,,,,o/s 73,,S,E0041739,Cippenham,Slough,,Slough,,Cippenham,,0,UKOS,493782,180655,-0.649819,51.517041,BCT,MKD,OTH,,,,050,2004-05-19T00:00:00.000,2008-03-05T11:31:00.000,1,revise,active
03700010,slgadpm,,,Moreton Way,,,,Moreton Way,,St Andrews Way,,,,N-bound,,N,E0041739,Cippenham,Slough,,Slough,,Cippenham,,0,UKOS,493816,180304,-0.649422,51.51388,BCT,MKD,TIP,,,,050,2004-12-21T00:00:00.000,2010-04-05T18:33:00.000,1,revise,active
03700011,slgadpt,,,Moreton Way,,,,Moreton Way,,St Andrews Way,,,,S-bound,,S,E0041739,Cippenham,Slough,,Slough,,Cippenham,,0,UKOS,493831,180248,-0.649221,51.513374,BCT,MKD,TIP,,,,050,2004-12-21T00:00:00.000,2010-04-05T18:34:00.000,1,revise,active
03700012,slgadpw,,,Mercian Recreation Ground,,,,Oldway Lane,,Mercian Way,,,,opp 58,,W,E0041739,Cippenham,Slough,,Slough,,Cippenham,,0,UKOS,493950,180225,-0.647513,51.513148,BCT,MKD,OTH,,,,050,2004-12-21T00:00:00.000,2008-03-05T11:31:00.000,1,revise,active
03700014,slgadta,,,Warner Close,,,,Elmshott Lane,,Mercian Way,,,,opp,,E,E0041739,Cippenham,Slough,,,,,,0,UKOS,494215,180300,-0.643675,51.513778,BCT,MKD,OTH,,,,050,2004-09-21T00:00:00.000,2014-06-05T09:12:07.786,4,revise,inactive
