ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
629028120,95625959,,,Heathervale Walk,,,,,,Gracies Wynd,,,,before,,NW,ES000149,Armadale,,,,,,,0,UKOS,294654,668262,-3.686198,55.89591,BCT,MKD,TIP,,,,141,2008-10-29T00:00:00.000,2010-05-20T11:35:26.000,6,revise,inactive
629029856,95626483,,,Oak Grove,,,,Oak Grove,,Craigshill East,,,,opp,,NW,ES000849,Craigshill,Livingston,,,,,,0,UKOS,306795,668597,-3.492241,55.901424,BCT,MKD,OTH,,,,141,2009-10-01T00:00:00.000,2012-07-31T11:58:27.000,2,revise,inactive
629030577,95626545,,,Oatlands Park,,,,,,Manse Road,,,,after,,S,ES002375,Linlithgow,,,,,,,0,UKOS,300412,676318,-3.597136,55.96949,BCT,HAR,OTH,,,,141,2011-06-22T15:27:58.000,2011-06-22T15:26:26.000,0,new,active
62903MT01,95625424,,,The Cottages,,,,The Cottages,,B8046,,,,before,,S,N0067348,Threemiletown,,,,,,,1,UKOS,305895,675497,-3.509037,55.963222,BCT,MKD,OTH,,,,141,2002-11-11T00:00:00.000,2010-10-20T00:00:00.000,3,revise,active
62903MT02,95625425,,,The Cottages,,,,The Cottages,,B8046,,,,opp and after,,N,N0067348,Threemiletown,,,,,,,1,UKOS,305880,675487,-3.509274,55.96313,BCT,MKD,TIP,,,,141,2002-11-11T00:00:00.000,2010-10-20T00:00:00.000,3,revise,active
62903MT03,95625426,,,Elmbank Cottage,,,,Junction with B8048,,B9080,,,,after,,E,N0067348,Threemiletown,,,,,,,1,UKOS,305791,675719,-3.510781,55.965196,BCT,MKD,TIP,,,,141,2002-11-11T00:00:00.000,2019-09-10T16:24:23.000,4,revise,active
62903MT04,95625427,,,Elmbank Cottage,,,,Elmbank Cottage,,B9080,,,,opp,,W,N0067348,Threemiletown,,,,,,,1,UKOS,305725,675684,-3.511825,55.964869,BCT,MKD,TIP,,,,141,2002-11-11T00:00:00.000,2011-01-26T12:28:14.000,3,revise,active
6290A01,95623293,,,St Pauls Drive,,,,Armadale Motors,,Bathgate Road,,,,opp and after,,E,ES000149,Armadale,,,,,,,0,UKOS,294486,668637,-3.689029,55.899241,BCT,MKD,TIP,,,,141,2002-11-11T00:00:00.000,2023-08-23T08:43:46.090,6,revise,active
6290A02,95623295,,,St Pauls Drive,,,,181a,,East Main Street,,,,before,,W,ES000149,Armadale,,,,,,,0,UKOS,294322,668614,-3.691642,55.898998,BCT,MKD,TIP,,,,141,2002-11-11T00:00:00.000,2013-01-14T11:23:45.000,5,revise,active
6290A03,95623294,,,The Cavalier,,,,Cavalier Pub,,East Main Street,,,,at,,E,ES000149,Armadale,,,,,,,0,UKOS,294189,668625,-3.693772,55.899068,BCT,MKD,TIP,,,,141,2002-11-11T00:00:00.000,2023-08-23T08:44:04.428,5,revise,active
6290A035,95623479,,,Speedway Stadium,,,,Dog Track,,Bathgate Road,,,,at,,W,ES000149,Armadale,,,,,,,0,UKOS,294698,668635,-3.68564,55.899269,BCT,MKD,PTP,,,,141,2001-05-02T00:00:00.000,2024-03-21T15:53:23.113,5,revise,active
6290A036,95623484,,,Speedway Stadium,,,,Dog Track,,Bathgate Road,,,,opp,,E,ES000149,Armadale,,,,,,,0,UKOS,294836,668660,-3.683444,55.899524,BCT,MKD,PTP,,,,141,2001-05-02T00:00:00.000,2024-03-21T15:53:50.711,3,revise,active
6290A037,95623483,,,Eastertoun Gardens,,,,Eastertoun Gardens,,Mill Road,,,,before,,NW,ES000149,Armadale,,,,,,,0,UKOS,293331,668629,-3.707489,55.898914,BCT,MKD,OTH,,,,141,2002-07-11T00:00:00.000,2011-03-24T12:11:05.000,3,revise,active
6290A038,95623482,,,Honeyman Court,,,,Honeyman Court,,Drove Road,,,,at,,NE,ES000149,Armadale,,,,,,,0,UKOS,293207,669012,-3.709616,55.902325,BCT,MKD,OTH,,,,141,2002-07-11T00:00:00.000,2023-09-25T13:38:58.431,7,revise,active
6290A039,95623485,,,Burns Avenue,,,,Burns Avenue,,Drove Road,,,,opp,,E,ES000149,Armadale,,,,,,,0,UKOS,293783,669132,-3.700461,55.903532,BCT,MKD,OTH,,,,141,2002-07-11T00:00:00.000,2009-12-08T00:00:00.000,2,revise,active
6290A04,95623296,,,The Cavalier,,,,No. 73,,East Main Street,,,,opp and after,,W,ES000149,Armadale,,,,,,,0,UKOS,294137,668608,-3.694597,55.898904,BCT,MKD,OTH,,,,141,2002-11-11T00:00:00.000,2023-08-23T08:51:35.095,5,revise,active
6290A040,95623478,,,Baird Drive,,,,Baird Road,,Bridgecastle Road,,,,at,,N,ES000149,Armadale,,,,,,,0,UKOS,293871,669330,-3.699132,55.905329,BCT,MKD,OTH,,,,141,2002-07-11T00:00:00.000,2009-12-08T00:00:00.000,2,revise,active
6290A041,95626475,,,Birkenshaw Way,,,,McCallum Court,,Drove Road,,,,opp,,E,ES000149,Armadale,,,,,,,0,UKOS,293405,669126,-3.706502,55.903394,BCT,MKD,TIP,,,,141,2009-02-20T00:00:00.000,2023-08-23T08:52:10.970,4,revise,active
6290A043,95626586,,,Railway Station,,,,,,Station Way,,,,opp,,N,ES000149,Armadale,,,,,,,0,UKOS,294040,667361,-3.695659,55.887683,BCT,CUS,TIP,,,,141,2012-08-29T14:18:25.000,2022-02-09T14:23:41.912,3,revise,active
6290A044,95626587,,,Avondale Cres,,,,,,Avondale Drive,,,,at,,E,ES000149,Armadale,,,,,,,0,UKOS,293159,668305,-3.71011,55.895966,BCT,CUS,OTH,,,,141,2012-08-30T08:45:13.000,2012-08-30T08:45:13.000,0,new,active
6290A045,95626644,,,Asda,,,,,,Southdale Way,,,,at,,N,ES000310,Bathville,,,,,,,0,UKOS,294381,667156,-3.690129,55.885917,BCT,MKD,OTH,,,,141,2013-01-14T11:38:51.000,2023-08-23T08:52:45.002,5,revise,active
6290A046,95626665,,,Asda,,,,,,Southdale Way,,,,opp,,SW,ES000149,Armadale,,,,,,,0,UKOS,294376,667134,-3.690201,55.885719,BCT,MKD,TIP,,,,141,2016-03-09T15:21:58.000,2023-08-23T08:52:56.020,3,revise,active
6290A05,95623472,,,Barbauchlaw Avenue,,,,No 20a,,East Main Street,,,,opp,,E,ES000149,Armadale,,,,,,,1,UKOS,293893,668604,-3.69849,55.898812,BCT,MKD,PTP,,,,141,2002-11-11T00:00:00.000,2024-10-01T15:37:29.188,6,revise,active
6290A06,95623473,,,Barbauchlaw Avenue,,,,Rings & Things,,East Main Street,,,,after,,W,ES000149,Armadale,,,,,,,1,UKOS,293845,668590,-3.699251,55.898676,BCT,MKD,PTP,,,,141,2002-11-11T00:00:00.000,2024-10-01T15:36:53.103,6,revise,active
6290A07,95623468,,,Academy Street,,,,No. 87,,West Main Street,,,,before,,W,ES000149,Armadale,,,,,,,0,UKOS,293563,668559,-3.703753,55.898337,BCT,MKD,OTH,,,,141,2002-11-11T00:00:00.000,2023-08-23T08:53:46.560,4,revise,active
6290A08,95623464,,,Academy Street,,,,No.110,,West Main Street,,,,opp,,E,ES000149,Armadale,,,,,,,0,UKOS,293515,668553,-3.704517,55.898273,BCT,MKD,PTP,,,,141,2002-11-11T00:00:00.000,2009-12-08T00:00:00.000,3,revise,active
6290A09,95623463,,,St Margarets Drive,,,,No 144-146,,West Main Street,,,,opp and after,,E,ES000149,Armadale,,,,,,,0,UKOS,293351,668517,-3.707125,55.897913,BCT,MKD,OTH,,,,141,2002-11-11T00:00:00.000,2009-12-08T00:00:00.000,3,revise,active
6290A10,95623469,,,St Margarets Drive,,,,St Margaret's Drive,,West Main Street,,,,before,,W,ES000149,Armadale,,,,,,,0,UKOS,293256,668485,-3.708631,55.897605,BCT,MKD,OTH,,,,141,2002-11-11T00:00:00.000,2023-08-23T08:54:55.684,6,revise,active
6290A11,95623465,,,Avondale Drive,,,,47 Avondale Terrace,,West Main Street,,,,opp,,E,ES000149,Armadale,,,,,,,0,UKOS,292980,668436,-3.713023,55.897103,BCT,MKD,OTH,,,,141,2002-11-11T00:00:00.000,2023-08-23T08:55:19.710,5,revise,active
6290A12,95623467,,,Avondale Drive,,,,No. 51,,West Main Street,,,,after,,W,ES000149,Armadale,,,,,,,0,UKOS,292989,668426,-3.712875,55.897015,BCT,MKD,PPT,,,,141,2002-11-11T00:00:00.000,2023-08-23T08:55:35.085,4,revise,active
6290A13,95623462,,,Morgan Way,,,,Morgan Way,,Station Road,,,,before,,S,ES000310,Bathville,,,,,,,0,UKOS,293872,667377,-3.698349,55.88779,BCT,MKD,OTH,,,,141,2002-11-11T00:00:00.000,2023-09-25T12:27:42.471,4,revise,inactive
6290A14,95623459,,,Morgan Way,,,,No 47-49,,Station Road,,,,opp,,N,ES000310,Bathville,,,,,,,0,UKOS,293805,667475,-3.699459,55.888655,BCT,MKD,OTH,,,,141,2002-11-11T00:00:00.000,2023-09-25T12:28:07.911,7,revise,inactive
6290A15,95623458,,,Cappers Court,,,,Cappers Court,,Station Road,,,,opp,,N,ES000310,Bathville,,,,,,,0,UKOS,293751,667583,-3.700358,55.889612,BCT,MKD,OTH,,,,141,2002-11-11T00:00:00.000,2023-09-25T12:33:41.778,6,revise,active
6290A16,95623457,,,Cappers Court,,,,No 39,,Station Road,,,,before,,S,ES000310,Bathville,,,,,,,0,UKOS,293758,667605,-3.700255,55.889811,BCT,MKD,OTH,,,,141,2002-11-11T00:00:00.000,2023-09-25T12:41:52.544,7,revise,active
6290A17,95623756,,,Bathville Cross,,,,No. 101,,South Street,,,,before,,S,ES000310,Bathville,,,,,,,1,UKOS,293729,667842,-3.700817,55.891935,BCT,MKD,TIP,,,,141,2002-11-11T00:00:00.000,2010-10-18T00:00:00.000,4,revise,active
6290A18,95623754,,,Bathville Cross,,,,No. 146-148,,South Street,,,,after,,N,ES000310,Bathville,,,,,,,1,UKOS,293695,667886,-3.701378,55.892322,BCT,MKD,TIP,,,,141,2002-11-11T00:00:00.000,2010-10-18T00:00:00.000,5,revise,active
6290A19,95623454,,,Wotherspoon Crescent,,,,No 101,,South Street,,,,after,,S,ES000149,Armadale,,,,,,,0,UKOS,293741,668187,-3.700755,55.895034,BCT,MKD,OTH,,,,141,2002-11-11T00:00:00.000,2023-08-23T08:57:07.894,5,revise,active
6290A20,95623456,,,Wotherspoon Crescent,,,,Wotherspoon Drive,,South Street,,,,opp,,NE,ES000149,Armadale,,,,,,,0,UKOS,293738,668242,-3.700831,55.895529,BCT,MKD,OTH,,,,141,2002-11-11T00:00:00.000,2011-01-21T09:15:32.000,3,revise,active
6290A21,95623452,,,Kross Bar,,,,Hunting Lodge,,South Street,,,,at,,N,ES000149,Armadale,,,,,,,0,UKOS,293783,668552,-3.700233,55.898323,BCT,MKD,PPT,,,,141,2002-11-11T00:00:00.000,2024-05-09T14:55:34.712,3,revise,active
6290A22,95623453,,,Kross Bar,,,,No.13-17,,South Street,,,,opp,,S,ES000149,Armadale,,,,,,,0,UKOS,293799,668549,-3.699976,55.8983,BCT,MKD,PTP,,,,141,2002-11-11T00:00:00.000,2024-05-09T14:55:59.997,6,revise,active
6290A23,95623438,,,Cross Northbound,,,,Arnold Clark Garage,,North Street,,,,at,,NE,ES000149,Armadale,,,,,,,0,UKOS,293830,668693,-3.699532,55.899598,BCT,MKD,TIP,,,,141,2002-11-11T00:00:00.000,2024-05-09T14:57:03.904,7,revise,active
6290A24,95623437,,,Swimming Pool,,,,Swimming Pool,,North Street,,,,at,,NE,ES000149,Armadale,,,,,,,0,UKOS,293854,668743,-3.699168,55.900052,BCT,MKD,TIP,,,,141,2002-11-11T00:00:00.000,2023-08-23T09:04:48.217,6,revise,active
6290A25,95623439,,,Bowling Green,,,,Recreation Grounds,,North Street,,,,opp,,NE,ES000149,Armadale,,,,,,,0,UKOS,293961,668967,-3.697551,55.902089,BCT,MKD,OTH,,,,141,2002-11-11T00:00:00.000,2011-08-25T14:50:31.000,4,revise,active
6290A26,95623292,,,St Andrews Drive,,,,Russell Avenue,,Drove Road,,,,before,,W,ES000149,Armadale,,,,,,,0,UKOS,293952,669162,-3.697765,55.903837,BCT,MKD,OTH,,,,141,2002-11-11T00:00:00.000,2024-05-14T14:57:46.838,6,revise,active
6290A27,95623287,,,Burns Avenue,,,,Burns Avenue,,Drove Road,,,,at,,W,ES000149,Armadale,,,,,,,0,UKOS,293743,669109,-3.701092,55.903316,BCT,MKD,OTH,,,,141,2002-11-11T00:00:00.000,2009-12-08T00:00:00.000,3,revise,active
6290A28,95623286,,,Birkenshaw Way,,,,Birkinshaw Way,,Drove Road,,,,at,,SW,ES000149,Armadale,,,,,,,0,UKOS,293396,669112,-3.70664,55.903267,BCT,MKD,OTH,,,,141,2002-11-11T00:00:00.000,2023-08-23T09:05:25.472,6,revise,active
6290A29,95623289,,,Honeyman Court,,,,Honeyman Court,,Drove Road,,,,opp,,SW,ES000149,Armadale,,,,,,,0,UKOS,293156,668940,-3.710409,55.901669,BCT,MKD,TIP,,,,141,2002-11-11T00:00:00.000,2011-03-24T12:12:11.000,4,revise,active
6290A30,95623434,,,Eastertoun Gardens,,,,Eastertoun Gardens,,Mill Road,,,,opp,,SE,ES000149,Armadale,,,,,,,0,UKOS,293307,668722,-3.707909,55.899744,BCT,MKD,TIP,,,,141,2002-11-11T00:00:00.000,2011-03-24T12:11:33.000,3,revise,active
6290A31,95623435,,,Bowling Green,,,,Recreation Grounds,,North Street,,,,before,,SW,ES000149,Armadale,,,,,,,0,UKOS,293982,668984,-3.697222,55.902247,BCT,MKD,OTH,,,,141,2008-01-27T00:00:00.000,2023-08-23T09:06:22.899,5,revise,active
6290A32,95623436,,,Swimming Pool,,,,Swimming Pool,,North Street,,,,opp,,SW,ES000149,Armadale,,,,,,,0,UKOS,293894,668800,-3.698556,55.900575,BCT,MKD,OTH,,,,141,2008-01-27T00:00:00.000,2023-08-23T09:06:44.616,5,revise,active
6290A33,95623285,,,Baird Drive,,,,Baird Drive,,Bridgecastle Road,,,,opp,,SE,ES000149,Armadale,,,,,,,0,UKOS,293880,669355,-3.698992,55.905554,BCT,MKD,OTH,,,,141,2002-11-11T00:00:00.000,2024-05-14T13:57:13.305,6,revise,active
6290A41,95626479,,,Lower Bathville,,,,,,Gracies Wynd,,,,after,,NW,ES000149,Armadale,,,,,,,0,UKOS,294743,668215,-3.684757,55.895507,BCT,CUS,OTH,,,,141,2008-10-29T00:00:00.000,2010-07-01T00:00:00.000,7,revise,active
6290A42,95626482,,,Temple Avenue,,,,,,St Pauls Drive,,,,before,,N,ES000149,Armadale,,,,,,,0,UKOS,294507,668364,-3.688587,55.896794,BCT,CUS,OTH,,,,141,2008-10-29T00:00:00.000,2010-07-01T00:00:00.000,4,revise,active
