ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
5520ABRCYNS0,,,,Abercynon Rail Station,,,,,,Station Road,,,,Entrance,,,E0054661,Abercynon,,,,,,,false,UKOS,308179,194750,-3.328411711,51.644024635,RSE,,,,,,048,2014-03-07T14:19:16,2024-05-02T09:44:01,1,revise,active
5520ANZ16737,rhojpwa,,,Pontypridd Tesco,,,,Tesco,,Dynea Road,,,,o/s car park,,NE,E0041712,Upper Boat,,,,,,,false,UKOS,310407,187613,-3.294381962,51.580228042,BCT,MKD,OTH,,,,048,2000-01-01T00:00:00,2024-05-02T09:44:45,3,revise,active
5520ANZ16755,rhopajg,,,Pontypridd Bus Station Stand 9,,Pontypridd Bus St,,Pontypridd Bus Station,,Morgan Street,,,,at,,,E0054682,Pontypridd,,,,,,,false,UKOS,307326,190488,-3.339593661,51.605572224,BCS,,,,,,048,2000-01-01T00:00:00,2025-05-21T13:21:43,7,revise,active
5520ANZ16756,rhojptj,,,Showcase Cinema,,,,Showcase Cinema,,Heol Crochendy,,,,opp,,NW,E0041663,Nantgarw,,,,,,,false,UKOS,311631,185941,-3.276301185,51.565396422,BCT,MKD,OTH,,,,048,2000-01-01T00:00:00,2024-05-02T09:44:32,3,revise,active
5520ANZ16758,rhojptm,,,Showcase Cinema,,,,Showcase Cinema,,Heol Crochendy,,,,o/s,,SE,E0041663,Nantgarw,,,,,,,false,UKOS,311669,185908,-3.275744797,51.565105742,BCT,MKD,OTH,,,,048,2000-01-01T00:00:00,2024-05-02T09:44:32,3,revise,active
5520ANZ16759,rhojtpa,,,Aldergrove Road,,,,,,Aldergrove Road,,,,o/s 24,,N,E0041661,Mount Pleasant,,,,,,,false,UKOS,302302,192082,-3.412561208,51.619054443,BCT,CUS,OTH,,,,048,2000-01-01T00:00:00,2024-05-02T09:45:02,4,revise,active
5520ANZ16760,rhojtpd,,,Allotment Gardens,,,,Allotment Gardens,,Turberville Road,,,,nr,,S,E0041661,Mount Pleasant,,,,,,,false,UKOS,302243,192139,-3.413429056,51.619556533,BCT,CUS,OTH,,,,048,2000-01-01T00:00:00,2024-05-02T09:43:56,3,revise,active
5520ANZ16761,rhoamda,,,Mountain View,,,,,,Mountain View,,,,nr Post Box,,W,N0075503,Bryngolau,,,,,,,false,UKOS,299389,188081,-3.453473546,51.582573367,BCT,CUS,OTH,,,,048,2000-01-01T00:00:00,2025-05-21T13:23:56,5,revise,active
5520ANZ16827,rhoawjw,,,Maes Bedw,,,,Ty-du Cottage,,Gwaun Bedw,,,,nr,,SE,E0054665,Cymmer,,,,,,,false,UKOS,302404,190534,-3.410656861,51.605157867,BCT,CUS,OTH,,,,048,2000-01-01T00:00:00,2024-05-02T09:44:16,3,revise,active
5520ANZ16828,rhoawma,,,Maes Bedw,,,,Arfryn,,Gwaun Bedw,,,,nr,,NW,E0054665,Cymmer,,,,,,,false,UKOS,302401,190528,-3.410698495,51.605103415,BCT,CUS,OTH,,,,048,2000-01-01T00:00:00,2024-05-02T09:44:16,3,revise,active
5520ANZ16829,rhodjgm,,,Glynfach Road,,,,,,Glynfach Road,,,,o/s 42,,W,E0054665,Cymmer,,,,,,,false,UKOS,302825,190907,-3.404683202,51.608583504,BCT,CUS,OTH,,,,048,2000-01-01T00:00:00,2024-05-02T09:45:10,5,revise,active
5520ANZ16830,rhoawjp,,,Dyllas Road,,,,Old Railway Bridge,,Dyllas Road,,,,top,,NE,E0054665,Cymmer,,,,,,,false,UKOS,302860,190960,-3.404192639,51.609065946,BCT,MKD,OTH,,,,048,2000-01-01T00:00:00,2024-05-02T09:45:09,3,revise,active
5520AWA11162,rhogajp,,,Cross Keys Inn,,,,Cross Keys Inn PH,,Caerphilly Road,,,,nr,,NW,E0041663,Nantgarw,,,,,,,true,UKOS,311953,185389,-3.271518451,51.560484844,BCT,MKD,OTH,,,,048,2000-01-01T00:00:00,2024-05-02T09:43:44,3,revise,active
