ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
1180DEVNPRT0,,,,Devonport Rail Station,,,,,,,,,,Entrance,,,E0040584,Devonport,Plymouth,,,,,,false,UKOS,245757,55430,-4.17068,50.37849,RSE,,,,,,042,2015-11-13T00:00:00,2015-11-13T11:38:20,1,new,active
1180DOCKYDP0,,,,Dockyard (Plymouth) Rail Station,,,,,,,,,,Entrance,,,N0073197,Plymouth,,,,,,,false,UKOS,245386,55868,-4.17607,50.38233,RSE,,,,,,042,2015-11-13T00:00:00,2015-11-13T11:36:21,1,new,active
1180KEYHAM0,,,,Keyham Rail Station,,,,,,,,,,Entrance,,,E0040605,Keyham,Plymouth,,,,,,false,UKOS,245141,56738,-4.17988,50.39008,RSE,,,,,,042,2015-11-13T00:00:00,2015-11-13T11:33:06,1,new,active
1180PLYMTH0,,,,Plymouth Rail Station,,,,,,,,,,Entrance,,,N0073197,Plymouth,,,,,,,true,UKOS,247670,55251,-4.14372,50.37738,RSE,,,,,,042,2015-11-13T00:00:00,2015-11-13T11:40:34,1,new,active
1180STBDXFR0,,,,St Budeaux Ferry Road Rail Station,,,,,,,,,,Entrance,,,E0040647,St Budeaux,Plymouth,,,,,,false,UKOS,244700,58010,-4.1866,50.40139,RSE,,,,,,042,2015-11-13T00:00:00,2015-11-13T11:23:17,1,new,active
1180STBDXVR0,,,,St Budeaux Victoria Road Rail Station,,,,,,,,,,Entrance,,,E0040647,St Budeaux,Plymouth,,,,,,false,UKOS,244600,58100,-4.18804,50.40218,RSE,,,,,,042,2010-11-26T00:00:00,2010-11-26T16:35:16,0,new,active
1180PLH10,,,,Plymouth City Airport,,,,,,,,,,Entrance,,,E0040593,Glenholt,,,,,,,false,UKOS,250206,60194,-4.11005,50.42245,AIR,,,,,,042,2011-03-09T00:00:00,2011-03-09T15:52:17,0,new,active
1180DVP0,,,,Devonport Ferry Terminal,,,,,,,,,,Entrance,,,E0040584,Devonport,Plymouth,,,,,,false,UKOS,244797,55198,-4.18408,50.37615,FTD,,,,,,042,2010-11-26T00:00:00,2010-11-26T16:27:09,0,new,active
1180PBA0,,,,Plymouth (Barbican) Landing Stage,,,,,,,,,,Entrance,,,E0040566,Barbican,Plymouth,,,,,,false,UKOS,248314,53931,-4.13414,50.36568,FTD,,,,,,042,2010-11-26T00:00:00,2010-11-26T16:27:09,0,new,active
1180PLY0,,,,Plymouth Ferry Terminal,,,,,,,,,,Entrance,,,N0073197,Plymouth,,,,,,,false,UKOS,246705,53885,-4.15673,50.36485,FTD,,,,,,042,2011-03-09T00:00:00,2011-03-09T15:52:17,0,new,active
1180PMB0,,,,Plymouth Mount Batten Ferry Landing,,,,,,,,,,Entrance,,,E0040623,Mount Batten,Plymouth,,,,,,false,UKOS,248604,53326,-4.12982,50.36032,FTD,,,,,,042,2010-11-26T00:00:00,2010-11-26T16:27:09,0,new,active
1180RWY0,,,,Royal William Yard Ferry Landing,,,,,,,,,,Entrance,,,E0040652,Stonehouse,Plymouth,,,,,,true,UKOS,246112,53560,-4.16493,50.36177,FTD,,,,,,042,2019-08-30T00:00:00,2019-08-30T15:43:21,20,new,active
