ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
23000002001A,iowmamj,,,Bus Station,,,,,,Orchard Street,,,,Stand A,,,E0038923,Newport,,,,,,,false,UKOS,449910,89004,-1.29467,50.69855,BCS,,,,,,025,2015-02-12T00:00:00,2021-09-20T10:45:27,24,new,active
23000002001B,iowmamp,,,Bus Station,,,,,,Orchard Street,,,,Stand B,,,E0038923,Newport,,,,,,,false,UKOS,449920,88971,-1.29454,50.69825,BCS,,,,,,025,2015-02-12T00:00:00,2017-11-21T11:36:50,17,new,active
23000002001C,iowmamt,,,Bus Station,,,,,,Orchard Street,,,,Stand C,,,E0038923,Newport,,,,,,,false,UKOS,449939,88944,-1.29427,50.698,BCS,,,,,,025,2015-02-12T00:00:00,2017-11-28T13:33:57,21,new,active
23000002001E,iowmamw,,,Bus Station,,,,,,Orchard Street,,,,Stand D,,,E0038923,Newport,,,,,,,false,UKOS,449952,88954,-1.29409,50.69809,BCS,,,,,,025,2015-02-12T00:00:00,2018-03-19T15:57:49,25,new,active
23000002001F,iowmapa,,,Bus Station,,,,,,Orchard Street,,,,Stand E,,,E0038923,Newport,,,,,,,false,UKOS,449969,88951,-1.29385,50.69806,BCS,,,,,,025,2015-02-12T00:00:00,2018-03-19T15:58:09,24,new,active
23000003001A,iowpamg,,,Transport Interchange,,,,,,A3055,,,,Stand A,,,E0038957,Ryde,,,,,,,false,UKOS,459383,92917,-1.15993,50.73284,BCS,,,,,,025,2015-02-13T00:00:00,2023-03-01T13:32:04,20,new,active
23000003001B,iowpamj,,,Transport Interchange,,,,,,A3055,,,,Stand B,,,E0038957,Ryde,,,,,,,false,UKOS,459410,92911,-1.15955,50.73279,BCS,,,,,,025,2015-02-13T00:00:00,2023-03-01T13:32:23,45,new,active
23000003001C,iowpamp,,,Transport Interchange,,,,,,A3055,,,,Stand C,,,E0038957,Ryde,,,,,,,false,UKOS,459455,92878,-1.15891,50.73248,BCS,,,,,,025,2015-02-13T00:00:00,2023-03-01T13:32:41,19,new,active
23000003001D,iowpamt,,,Transport Interchange,,,,,,A3055,,,,Stand D,,,E0038957,Ryde,,,,,,,false,UKOS,459404,92891,-1.15963,50.73261,BCS,,,,,,025,2015-02-13T00:00:00,2023-03-01T13:33:00,19,new,active
23000003001E,iowpamw,,,Transport Interchange,,,,,,A3055,,,,Stand E,,,E0038957,Ryde,,,,,,,false,UKOS,459385,92902,-1.1599,50.73271,BCS,,,,,,025,2015-02-13T00:00:00,2023-03-01T13:33:19,19,new,active
2300BRDING0,,,,Brading Rail Station,,,,,,,,,,Entrance,,,E0053402,Brading,,,,,,,false,UKOS,460941,86945,-1.13884,50.67898,RSE,,,,,,025,2010-11-26T00:00:00,2010-11-26T16:35:16,0,new,active
2300LAKEIOW0,,,,Lake (Isle of Wight) Rail Station,,,,,,,,,,Entrance,,,E0053412,Lake,,,,,,,false,UKOS,459050,83313,-1.16618,50.64652,RSE,,,,,,025,2010-11-26T00:00:00,2010-11-26T16:35:16,0,new,active
2300RYDE0,,,,Ryde Esplanade Rail Station,,,,,,,,,,Entrance,,,E0038957,Ryde,,,,,,,false,UKOS,459449,92887,-1.159,50.73257,RSE,,,,,,025,2010-11-26T00:00:00,2010-11-26T16:35:16,0,new,active
2300RYDP0,,,,Ryde Pier Head Rail Station,,,,,,,,,,Entrance,,,E0038957,Ryde,,,,,,,false,UKOS,459353,93606,-1.16024,50.73904,RSE,,,,,,025,2010-11-26T00:00:00,2010-11-26T16:35:16,0,new,active
2300RYDS0,,,,Ryde St Johns Road Rail Station,,,,,,,,,,Entrance,,,E0038957,Ryde,,,,,,,false,UKOS,459636,91988,-1.15649,50.72446,RSE,,,,,,025,2010-11-26T00:00:00,2010-11-26T16:35:16,0,new,active
2300SHANKLN0,,,,Shanklin Rail Station,,,,,,,,,,Entrance,,,E0053419,Shanklin,,,,,,,false,UKOS,458062,81848,-1.18038,50.63344,RSE,,,,,,025,2010-11-26T00:00:00,2010-11-26T16:35:16,0,new,active
2300SHANKLN1,,,,Shanklin Rail Station,,,,,,,,,,Entrance,,,E0053419,Shanklin,,,,,,,false,UKOS,458104,81869,-1.17978,50.63363,RSE,,,,,,025,2025-08-06T15:18:50.1220039+01:00,2025-08-05T09:34:53,0,new,active
2300SMALBRK0,,,,Smallbrook Junction Rail Station,,,,,,,,,,Entrance,,,E0038979,Swanmore,Ryde,,,,,,false,UKOS,459752,90540,-1.15508,50.71143,RSE,,,,,,025,2016-06-06T00:00:00,2016-06-06T07:22:34,1,new,active
2300SNDOWN0,,,,Sandown Rail Station,,,,,,,,,,Entrance,,,E0053417,Sandown,,,,,,,false,UKOS,459309,84443,-1.16233,50.65665,RSE,,,,,,025,2010-11-26T00:00:00,2010-11-26T16:35:16,0,new,active
2300COF0,iowmgtw,,,East Cowes Floating Bridge,,,,,,Ferry Road,,,,Entrance,,,E0038861,East Cowes,Cowes,,,,,,false,UKOS,450152,95535,-1.29036,50.75725,FTD,,,,,,025,2016-04-12T00:00:00,2016-04-12T12:38:00,12,new,active
2300COH0,iowmjta,,,Red Jet Ferry Terminal,,,,,,Fountain Quay,,,,Entrance,,,E0053406,Cowes,,,,,,,false,UKOS,449696,96150,-1.29674,50.76282,FTD,,,,,,025,2016-07-11T00:00:00,2016-07-11T13:44:22,10,new,active
2300COM0,iowmgtp,,,West Cowes Floating Bridge,,,,,,Medina Road,,,,Entrance,,,E0053406,Cowes,,,,,,,false,UKOS,449997,95639,-1.29254,50.7582,FTD,,,,,,025,2010-11-26T00:00:00,2010-11-26T16:35:16,0,new,active
2300COW0,iowmgwa,,,East Cowes Ferry Terminal,,,,,,Well Road,,,,Entrance,,,E0038861,East Cowes,Cowes,,,,,,false,UKOS,450179,95741,-1.28995,50.7591,FTD,,,,,,025,2016-04-12T00:00:00,2016-04-12T12:32:12,4,new,active
2300FSB0,iowmgwd,,,Fishbourne IOW Ferry Terminal,,,,,,Fishbourne Lane,,,,Entrance,,,E0038865,Fishbourne,Wootton,,,,,,false,UKOS,455572,92985,-1.21391,50.73383,FTD,,,,,,025,2016-04-12T00:00:00,2016-04-12T12:33:31,14,new,active
2300RYD0,iowmgwt,,,Ryde Pier Head Ferry Terminal,,,,,,,,,,Entrance,,,E0038957,Ryde,,,,,,,false,UKOS,459346,93630,-1.16034,50.73926,FTD,,,,,,025,2016-04-12T00:00:00,2016-04-12T12:35:35,4,new,active
2300RYH0,iowmjad,,,Ryde Hoverport,,,,,,Quay Road,,,,Entrance,,,E0038957,Ryde,,,,,,,false,UKOS,459500,92886,-1.15828,50.73255,FTD,,,,,,025,2016-04-12T00:00:00,2016-04-12T12:36:05,8,new,active
