ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
54000000WD48,gwnwdgj,,,Pont ar Ddyfi West,,,,,,A493,,,,,,W,E0037664,Pen-y-Bont,,,,,,,false,UKOS,274376,301943,-3.856298533,52.600705672,BCT,MKD,OTH,,,,020,2025-06-19T08:54:34,2025-06-19T08:57:32,2,revise,inactive
54000000WD49,gwnwdgw,,,Pont ar Ddyfi West,,,,,,A493,,,,,,E,E0037659,Pant-Perthog,,,,,,,false,UKOS,274343,301949,-3.856787787,52.600751946,BCT,MKD,OTH,,,,020,2025-06-19T09:04:51,2025-06-19T09:06:44,2,revise,inactive
54000000WD50,gwnwdja,,,O.M.Edwards School,,,,O.M.Edwards School,,Ffordd yr Ysgol,,,,grounds,,SW,E0054305,Llanuwchllyn,,,,,,,false,UKOS,287322,330374,-3.675007599,52.859020861,BCT,MKD,OTH,,,,020,2025-06-25T12:02:12,2025-06-25T11:55:24,,new,active
5400000WD484,gwnwdgd,,,Pont ar Ddyfi South,,,,,,A487,,,,,,S,E0037659,Pant-Perthog,,,,,,,false,UKOS,274418,301921,-3.855670391,52.600517717,BCT,MKD,OTH,,,,020,2025-06-19T08:46:29,2025-06-19T08:48:25,3,revise,inactive
540000WDB484,gwnwdga,,,Pont ar Ddyfi East,,,,,,A487,,,,,,E,E0037659,Pant-Perthog,,,,,,,false,UKOS,274419,301966,-3.855672728,52.600922275,BCT,MKD,OTH,,,,020,2025-06-18T16:25:35,2025-06-18T16:29:11,3,revise,inactive
54000WDB4840,gwnwdaw,,,Pont ar Ddyfi East,,,,,,A487,,,,,,W,E0037664,Pen-y-Bont,,,,,,,false,UKOS,274435,301959,-3.85543396,52.60086308,BCT,MKD,OTH,,,,020,2025-06-18T16:14:31,2025-06-18T16:16:19,3,revise,inactive
5400ABC19999,gwnwamt,,,Aberllefenni,,,,,,Pensarn,,,,,,N,E0037429,Aberllefenni,,,,,,,false,UKOS,277055,309987,-3.819762471,52.673595753,BCT,MKD,OTH,,,,020,2024-04-18T15:04:26,2024-04-18T15:04:40,1,revise,active
5400ABC99971,gwnwapd,,,Norbar,,,,,,A496,,,,opp,,N,E0037749,Tal-y-Bont,,,,,,,false,UKOS,259757,319293,-4.079397189,52.75299506,BCT,MKD,OTH,,,,020,2024-04-25T12:30:19,2024-06-16T14:45:06,1,revise,active
5400ABC99972,gwnwapg,,,Norbar,,,,,,A496,,,,adj,,S,E0037749,Tal-y-Bont,,,,,,,false,UKOS,259766,319313,-4.079272493,52.753177069,BCT,MKD,OTH,,,,020,2024-04-25T12:34:22,2024-06-16T14:45:09,1,revise,active
5400ABC99973,gwnwamw,,,Llandecwyn,,,,,,A496,,,,,,NE,E0037598,Llandecwyn,,,,,,,false,UKOS,262186,337665,-4.051197377,52.91866835,BCT,MKD,OTH,,,,020,2024-04-25T11:20:22,2024-06-16T14:45:11,1,revise,active
5400ABC99974,gwnwapa,,,Llandecwyn,,,,,,A496,,,,,,SW,E0037598,Llandecwyn,,,,,,,false,UKOS,262204,337686,-4.050938763,52.918861625,BCT,MKD,OTH,,,,020,2024-04-25T11:23:40,2024-06-16T14:45:13,1,revise,active
5400ABC99975,gwnwapj,,,Penbryn Garage,,,,,,Ffordd Tywyn,,,,,,W,E0037537,Dolgellau,,,,,,,false,UKOS,272489,317689,-3.890242654,52.741740218,BCT,MKD,OTH,,,,020,2024-04-25T12:47:49,2024-04-25T12:44:53,,new,active
5400ABC99988,gwnwajw,,,Dolgarregddu Parking,,,,,,Dolgarregddu,,,,,,SW,E0054958,Blaenau Ffestiniog,,,,,,,false,UKOS,270271,345936,-3.934338237,52.994990734,BCT,MKD,OTH,,,,020,2024-04-18T12:01:53,2024-04-18T12:02:35,1,revise,active
5400ABC99989,gwnwamg,,,Brynrefail Minffordd,,,,,,A4244,,,,at,,NE,E0037466,Brynrefail,,,,,,,false,UKOS,256102,363230,-4.153032628,53.146717293,BCT,MKD,OTH,,,,020,2024-04-18T13:32:50,2024-04-18T13:31:47,,new,active
5400ABC9999,gwnwamj,,,Cae Glas,,,,,,Wesley Street,,,,,,N,E0037713,Rhiwlas,,,,,,,false,UKOS,257918,365862,-4.127069232,53.170847517,BCT,MKD,OTH,,,,020,2024-04-18T13:38:53,2024-06-16T14:45:14,2,revise,active
5400ABC99990,gwnwajt,,,Tanygrisiau Ffestiniog Railway,,,,,,Un-named Road,,,,,,E,E0037761,Tanygrisiau,,,,,,,false,UKOS,268296,344942,-3.963340694,52.985578486,BCT,MKD,OTH,,,,020,2024-04-18T11:38:18,2024-04-25T10:18:43,2,revise,active
5400ABC99992,gwnwajm,,,Bryn Afron,,,,,,Lon Engan,,,,,,NE,E0037430,Abersoch,,,,,,,false,UKOS,231059,328079,-4.508742989,52.823688401,BCT,MKD,OTH,,,,020,2024-04-16T15:42:52,2024-04-16T15:43:54,1,revise,active
5400ABC99993,gwnwajp,,,Lon Engan,,,,,,Lon Engan,,,,,,NW,E0037430,Abersoch,,,,,,,false,UKOS,230793,327981,-4.512635828,52.822724814,BCT,MKD,OTH,,,,020,2024-04-16T15:49:57,2024-04-16T15:51:00,1,revise,active
5400ABC99997,gwnwajd,,,Swyddfa'r Post Office,,,,Post Office,,Clynnog-fawr,,,,,,NE,E0054276,Clynnog,,,,,,,false,UKOS,241527,349752,-4.364119034,53.021528667,BCT,MKD,OTH,,,,020,2024-04-16T13:51:48,2024-04-16T13:48:37,,new,active
5400ABC99998,gwnwajg,,,Ty Mawr,,,,,,B4547,,,,,,SE,E0054289,Llanddeiniolen,,,,,,,false,UKOS,255818,367019,-4.158983992,53.180675282,BCT,MKD,OTH,,,,020,2024-04-16T15:30:17,2024-04-16T15:25:44,,new,active
5400ABC99999,gwnwamd,,,Brynhyfryd Terrace,,,,,,Brynhyfryd Terrace,,,,,,W,E0037479,Carmel,,,,,,,false,UKOS,249803,354994,-4.243283221,53.071001301,BCT,MKD,OTH,,,,020,2024-04-18T13:26:37,2024-04-18T13:25:13,,new,active
5400ABDVY0,,,,Aberdovey Rail Station,,,,,,Rhos Dyfi,,,,Entrance,,,E0054262,Aberdovey,,,,,,,false,UKOS,260616,296074,-4.056876143,52.544641165,RSE,,,,,,020,2014-03-10T14:08:53,2025-06-11T10:47:33,2,revise,active
5400ABRE0,,,,Abererch Rail Station,,,,,,Level Crossing,,,,Entrance,,,E0037427,Abererch,,,,,,,false,UKOS,240325,336075,-4.375297661,52.898353634,RSE,,,,,,020,2014-03-07T10:46:54,2025-06-11T10:47:33,2,revise,active
5400ACX17053,gwndwpg,,,Felin Hen,,,,,,B4409,,,,after junction,,SE,E0037576,Glasinfryn,,,,,,,true,UKOS,258927,368231,-4.113031698,53.192400812,BCT,MKD,OTH,,,,020,2000-01-01T00:00:00,2024-04-26T16:33:13,4,revise,active
5400ANX17081,gwndwmj,,,Tan y Graig,,,,The Union,,Caernarfon Road,,,,after,,SW,E0037571,Glan-Adda,Bangor,,,,,,true,UKOS,257217,371148,-4.139913096,53.218146437,BCT,MKD,OTH,,,,020,2000-01-01T00:00:00,2024-04-26T16:34:30,3,revise,active
5400ANZ12838,gwnatwp,,,Harbour Railway Station,,,,,,Britannia Terrace,,,,not in use,,S,E0054316,Porthmadog,,,,,,,true,UKOS,257121,338400,-4.126798912,52.923951414,BCT,MKD,OTH,,,,020,2000-01-01T00:00:00,2025-06-11T10:47:38,5,revise,inactive
5400ANZ12860,gwndtmg,,,Fairbourne Railway Station,,,,Fairbourne Railway Station,,Beach Road,,,,o/s,,NW,E0037549,Fairbourne,,,,,,,true,UKOS,261568,312853,-4.049866644,52.69560653,BCT,MKD,OTH,,,,020,2000-01-01T00:00:00,2025-06-11T10:47:35,7,revise,active
5400AWD70002,gwndpmg,,,Coleg Meirion Dwyfor,,,,,,Ffordd T'yn Coed,,,,o/s,,W,E0037537,Dolgellau,,,,,,,true,UKOS,271890,318081,-3.899263579,52.745125082,BCT,MKD,OTH,,,,020,2000-01-01T00:00:00,2024-04-26T16:33:02,5,revise,active
5400AWD70005,gwngmpd,,,Llanelltyd Taicynhaeaf,,,,,,A496,,,,after junction,,E,E0054294,Llanelltyd,,,,,,,true,UKOS,271487,319435,-3.905761062,52.757194454,BCT,MKD,OTH,,,,020,2000-01-01T00:00:00,2024-04-26T16:33:43,4,revise,active
5400AWD70006,gwngmpg,,,Llanelltyd Taicynhaeaf,,,,,,A496,,,,after junction,,W,E0054294,Llanelltyd,,,,,,,true,UKOS,271509,319420,-3.905429247,52.757060309,BCT,MKD,OTH,,,,020,2000-01-01T00:00:00,2024-04-26T16:33:43,6,revise,active
5400AWD70008,gwngatd,,,Pont Borthwnog,,,,,,A496,,,,after,,E,E0054294,Llanelltyd,,,,,,,true,UKOS,268977,319121,-3.942805889,52.753770109,BCT,MKD,OTH,,,,020,2000-01-01T00:00:00,2025-07-06T16:24:08,7,revise,active
5400AWD70009,gwngata,,,Pont Borthwnog,,,,,,A496,,,,before,,W,E0054294,Llanelltyd,,,,,,,true,UKOS,268980,319115,-3.942758936,52.753712318,BCT,MKD,OTH,,,,020,2000-01-01T00:00:00,2024-06-16T14:45:23,9,revise,active
5400AWD70010,gwnatjw,,,Capel Bethania,,,,Capel Bethania,,A496,,,,o/s,,E,E0037445,Bontddu,,,,,,,true,UKOS,267330,318905,-3.967106306,52.751422775,BCT,CUS,OTH,,,,020,2000-01-01T00:00:00,2024-04-26T16:32:50,5,revise,active
5400AWD70011,gwnatmd,,,Halfway House Hotel,,,,Bontddu War Memorial,,A496,,,,o/s,,NE,E0037445,Bontddu,,,,,,,true,UKOS,267140,318821,-3.969885648,52.750626004,BCT,MKD,OTH,,,,020,2000-01-01T00:00:00,2024-04-26T16:33:39,4,revise,active
