ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
3100ALNMOTH0,nldgmajm,,,Railway station,,,,Southbound platform,,station approach,,,,west entrance,,,N0070152,Alnmouth Station,Alnmouth Village,,Alnmouth,,,,0,UKOS,423162,611025,-1.6358989,55.3926333,RSE,,,,,,094,2005-04-14T00:00:00.000,2012-04-19T09:04:00.000,3,revise,active
3100ALNMOTH1,nldgtawg,,,Railway Station,,,,Northbound platform,,road to Bilton,,,,South entrance,,,N0070152,Alnmouth Station,Alnmouth Village,,Alnmouth,,,,0,UKOS,423130,610967,-1.6364088,55.3921137,RSE,,,,,,094,2012-04-19T09:03:00.000,2012-04-19T09:03:00.000,0,new,active
3100BRDNML0,nldgmatj,,,Bardon Mill Station,,,,entrance,,Station,,,,entrance,,,E0049965,Bardon Mill,,,Bardon Mill,,,,0,UKOS,377868,564532,-2.3472826,54.9749050,RSE,,,,,,094,2005-04-14T00:00:00.000,2009-04-29T13:17:00.000,1,revise,active
3100BRWCKUT0,nldgmaja,,,Berwick upon Tweed Station,,,,entrance,,Station,,,,entrance,,,E0056417,Berwick-upon-Tweed,,,Berwick upon Tweed,,,,0,UKOS,399492,653370,-2.0096602,55.7736590,RSE,,,,,,094,2005-04-14T00:00:00.000,2005-04-14T00:00:00.000,0,new,active
3100CHHL0,nldgmajg,,,Railway station,,,,level crossing,,street,,,,south entrance,,,E0019685,Chathill,,,,,,,0,UKOS,418660,627015,-1.7059044,55.5365041,RSE,,,,,,094,2005-04-14T00:00:00.000,2011-01-26T16:16:00.000,2,revise,active
3100CHHL1,nldgmajd,,,Railway station,,,,Level crossing,,street,,,,north entrance,,,E0019685,Chathill,,,,,,,0,UKOS,418647,626997,-1.7061116,55.5363429,RSE,,,,,,094,2005-04-14T00:00:00.000,2011-01-26T16:15:00.000,2,revise,active
3100CRBG0,nldgmapw,,,Corbridge Station,,,,entrance,,Station Road,,,,entrance,,,E0049975,Corbridge,,,Corbridge,,,,0,UKOS,398879,563476,-2.0190401,54.9659096,RSE,,,,,,094,2005-04-14T00:00:00.000,2009-01-27T14:02:00.000,1,revise,active
3100CRBG1,nldgmgpa,,,Railway station,,,,Railway bridge,,Tinklers Bank,,,,south entrance,,,E0049975,Corbridge,,,Corbridge,,,,0,UKOS,398886,563506,-2.0189309,54.9661792,RSE,,,,,,094,2005-06-01T00:00:00.000,2011-01-26T16:23:00.000,2,revise,active
3100CRBG2,nldgmgpd,,,Railway station,,,,main entrance,,Tinklers Bank,,,,main entrance,,,E0049975,Corbridge,,,Corbridge,,,,0,UKOS,398917,563514,-2.0184467,54.9662512,RSE,,,,,,094,2005-06-01T00:00:00.000,2011-01-26T16:22:00.000,2,revise,active
3100CRMLNGT0,nldgmamw,,,Railway station,,,,Station buildings,,Crow Hall Lane,,,,main entrance,,,E0019853,Cramlington,,,Cramlington,,,,0,UKOS,425729,577109,-1.5984567,55.0877605,RSE,,,,,,094,2005-04-14T00:00:00.000,2011-02-10T15:41:00.000,2,revise,active
3100CRMLNGT1,nldgmamt,,,Railway station,,,,Road bridge,,A1172,,,,west entrance,,,E0019853,Cramlington,,,Cramlington,,,,0,UKOS,425712,577061,-1.5987274,55.0873300,RSE,,,,,,094,2005-04-14T00:00:00.000,2011-02-10T15:42:00.000,1,revise,active
3100HEXHAM0,nldgmata,,,Hexham Station,,,,entrance,,Station,,,,entrance,,,E0049987,Hexham,,,Hexham,,,,0,UKOS,394012,564275,-2.0950767,54.9730541,RSE,,,,,,094,2005-04-14T00:00:00.000,2009-09-23T15:08:00.000,1,revise,active
3100HLTWHST0,nldgmatm,,,Railway station,,,,Main entrance,,Station Road,,,,main entrance,,,E0049981,Haltwhistle,,,Haltwhistle,,,,0,UKOS,370411,563824,-2.4637059,54.9681544,RSE,,,,,,094,2005-04-14T00:00:00.000,2011-01-26T16:09:00.000,2,revise,active
3100HLTWHST1,nldgmgpj,,,Railway station,,,,South entrance,,Haltwhistle Tyne Bridge,,,,south entrance,,,E0049981,Haltwhistle,,,Haltwhistle,,,,0,UKOS,370533,563791,-2.4617969,54.9678651,RSE,,,,,,094,2004-12-20T00:00:00.000,2011-01-26T16:11:00.000,2,revise,active
3100HYDB0,nldgmatd,,,Railway station,,,,Level crossing,,Church Street,,,,west entrance,,,E0020143,Haydon Bridge,,,Haydon Bridge,,,,0,UKOS,384213,564510,-2.2481706,54.9749499,RSE,,,,,,094,2005-04-14T00:00:00.000,2011-01-27T14:11:00.000,2,revise,active
3100HYDB1,nldgmatg,,,Railway station,,,,Level crossing,,Church Street,,,,east entrance,,,E0020143,Haydon Bridge,,,Haydon Bridge,,,,0,UKOS,384228,564536,-2.2479377,54.9751840,RSE,,,,,,094,2005-04-14T00:00:00.000,2011-01-27T14:12:00.000,2,revise,active
3100PEGSWD0,nldgmamg,,,Railway Station,,,,Station entrance,,A197,,,,south entrance,,,E0049951,Pegswood,,,,,,,0,UKOS,422815,587186,-1.6433028,55.1784457,RSE,,,,,,094,2006-04-20T00:00:00.000,2011-02-14T15:53:00.000,1,revise,active
3100PEGSWD1,nldgmamd,,,Railway Station,,,,Station entrance,,A197,,,,north entrance,,,E0049951,Pegswood,,,,,,,0,UKOS,422804,587198,-1.6434745,55.1785541,RSE,,,,,,094,2006-04-20T00:00:00.000,2011-02-14T15:54:00.000,1,revise,active
3100PRUDHOE0,nldgmapg,,,Prudhoe Station,,,,Level crossing,,Station,,,,westbound,,,N0070162,Low Prudhoe,Prudhoe,,Prudhoe,,,,0,UKOS,408735,563454,-1.8650959,54.9656386,RSE,,,,,,094,2005-04-14T00:00:00.000,2011-02-08T13:45:00.000,1,revise,active
3100PRUDHOE1,nldgmgmp,,,Prudhoe Station,,,,Level crossing,,Station,,,,eastbound,,,N0070162,Low Prudhoe,Prudhoe,,Prudhoe,,,,0,UKOS,408727,563465,-1.8652205,54.9657375,RSE,,,,,,094,2004-12-20T00:00:00.000,2011-02-08T13:44:00.000,1,revise,active
3100RIDNGML0,nldgmgmw,,,Railway station,,,,car park,,Station,,,,main entrance,,,E0020212,Riding Mill,,,,,,,0,UKOS,401905,561561,-1.9717878,54.9486987,RSE,,,,,,094,2004-12-20T00:00:00.000,2011-02-23T17:13:00.000,1,revise,active
3100RIDNGML1,nldgmapm,,,Railway station,,,,Footpath,,Station,,,,east entrance,,,E0020212,Riding Mill,,,,,,,0,UKOS,402129,561564,-1.9682905,54.9487248,RSE,,,,,,094,2005-04-14T00:00:00.000,2011-02-23T17:15:00.000,1,revise,active
3100STCKSFL0,nldgmapj,,,Railway station,,,,Car park,,Station,,,,main entrance,,,E0020239,Stocksfield,,,Stocksfield,,,,0,UKOS,405431,561351,-1.9167411,54.9467863,RSE,,,,,,094,2005-04-14T00:00:00.000,2011-02-23T11:53:00.000,1,revise,active
3100STCKSFL1,nldgmgmt,,,Railway station,,,,north entrance,,B6309,,,,north entrance,,,E0020239,Stocksfield,,,Stocksfield,,,,0,UKOS,405440,561400,-1.9165997,54.9472266,RSE,,,,,,094,2004-12-20T00:00:00.000,2011-02-23T11:54:00.000,1,revise,active
3100T698067,nldgatgt,T698067,,Carter Bar summit,,,,The Border,,A68,,,,southbound,,SE,E0020208,Ramshope,,,,,,,0,UKOS,369840,606774,-2.4772107,55.3540449,BCT,MKD,TIP,,,,094,2003-03-24T00:00:00.000,2011-04-20T09:04:00.000,3,revise,active
3100T713049,nldgmgaj,T713049,,Whitelee Farm,,,,Farm entrance,,A68,,,,near,,E,E0020208,Ramshope,,,,,,,0,UKOS,371315,604988,-2.4537645,55.3380852,BCT,CUS,OTH,,,,094,2004-07-10T00:00:00.000,2012-11-26T09:37:00.000,2,revise,active
