ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
400040004411,surgptmt,,,Drovers Way,,,,Drovers Way,,Drovers Way,,,,NE-bound,,NE,E0051819,Farnham,,,,,,,0,UKOS,483497,148635,-0.805525,51.230806,BCT,HAR,OTH,,,,102,2010-06-09T12:01:00.000,2010-06-09T12:37:00.000,1,delete,inactive
40004006997A,surgtmja,,,Lovelace Road,,,,,,Lovelace Road,,,,W-bound,,W,E0034623,Surbiton,London,,,,,,1,UKOS,517429,166536,-0.313851,51.385732,BCT,HAR,OTH,,,,102,2018-08-17T15:52:00.000,2018-08-17T15:53:00.000,1,revise,active
4000407199D,surgpgmd,,,Clay Lane Turn,,,,Clay lane,,Blanchards Hill,,,,Just before,,SW,E0025898,Jacobs Well,,,,,,,0,UKOS,500121,153210,-0.5662279,51.2692599,BCT,CUS,OTH,,,,102,2009-04-02T11:17:00.000,2009-04-02T11:20:00.000,2,delete,inactive
40004401001A,suradapw,,,Beaumont,,,,Beaumont,,Priest Hill,,,,adj,,N,N0060338,Runnymede,,,Runnymede,,,,0,UKOS,499273,173248,-0.5727927,51.4495277,BCT,CUS,OTH,,,,102,2004-12-01T00:00:00.000,2017-08-31T11:23:00.000,7,delete,inactive
40004401001B,suradgta,,,Beaumont,,,,Beaumont,,Priest Hill,,,,opp,,S,N0060338,Runnymede,,,Runnymede,,,,0,UKOS,499291,173335,-0.5725093,51.4503065,BCT,CUS,OTH,,,,102,2004-12-01T00:00:00.000,2017-08-31T11:23:00.000,8,delete,inactive
40004401002A,suradgwj,,,Priest Hill Kennels,,,,Priest Hill Kennels,,Priest Hill,,,,opp,,N,N0060338,Runnymede,,,Runnymede,,,,1,UKOS,499206,172920,-0.5738484,51.4465911,BCT,MKD,OTH,,,,102,2005-04-19T00:00:00.000,2017-04-19T10:45:00.000,2,revise,active
40004401002B,suradgwm,,,Priest Hill Kennels,,,,Priest Hill Kennels,,Priest Hill,,,,adj,,S,N0060338,Runnymede,,,Runnymede,,,,1,UKOS,499240,172970,-0.5733453,51.4470346,BCT,MKD,OTH,,,,102,2005-04-19T00:00:00.000,2017-04-19T10:46:00.000,2,revise,active
40004401003A,suradgwt,,,Beaumont Farm,,,,Beaumont Farm,,Priest Hill,,,,adj,,N,N0060338,Runnymede,,,Runnymede,,,,0,UKOS,499172,172733,-0.5743898,51.4449161,BCT,MKD,OTH,,,,102,2005-07-26T00:00:00.000,2017-04-18T15:25:00.000,2,revise,active
40004401003B,suradjad,,,Beaumont Farm,,,,Beaumont Farm,,Priest Hill,,,,opp,,S,N0060338,Runnymede,,,Runnymede,,,,0,UKOS,499180,172685,-0.5742882,51.4444833,BCT,MKD,OTH,,,,102,2005-07-26T00:00:00.000,2017-04-18T15:26:00.000,2,revise,active
40004401003C,,,,The Ridings,,,,"The Ridings ",,The Ridings,,,,On,,N,E0025597,Englefield Green,,,Cranleigh,,,,1,UKOS,506110,139775,-0.4843813,51.1474046,BCT,MKD,TIP,,,,102,2012-11-09T11:06:00.000,2012-11-09T11:58:00.000,1,delete,inactive
40004401004A,suradmad,,,Cooper's Hill Lane,,,,Cooper's Hill Lane,,Priest Hill,,,,opp,,N,E0025597,Englefield Green,,,Englefield Green,,,,0,UKOS,499100,172166,-0.5755840,51.4398321,BCT,MKD,OTH,,,,102,2004-12-01T00:00:00.000,2017-06-07T12:12:00.000,6,revise,active
40004401004B,suradpmp,,,Cooper's Hill Lane,,,,Cooper's Hill Lane,,St Jude's Road,,,,adj,,S,E0025597,Englefield Green,,,Englefield Green,,,,0,UKOS,499133,172066,-0.5751374,51.4389274,BCT,MKD,OTH,,,,102,2004-12-01T00:00:00.000,2017-06-07T12:14:00.000,6,revise,active
40004401005A,suradpmt,,,Middle Hill,,,,Middle Hill,,St Jude's Road,,,,opp,,N,E0025597,Englefield Green,,,Englefield Green,,,,0,UKOS,499214,171709,-0.5740723,51.4357043,BCT,MKD,OTH,,,,102,2004-12-01T00:00:00.000,2017-06-07T12:47:00.000,6,revise,active
40004401005B,suradpwt,,,Middle Hill,,,,Middle Hill,,St Jude's Road,,,,adj,,S,E0025597,Englefield Green,,,Englefield Green,,,,0,UKOS,499246,171582,-0.5736476,51.4345571,BCT,MKD,OTH,,,,102,2005-04-19T00:00:00.000,2017-06-07T12:48:00.000,5,revise,active
40004401006A,suradtja,,,Barley Mow Road,,,,Barley Mow Road,,St Jude's Road,,,,opp,,N,E0025597,Englefield Green,,,Englefield Green,,,,0,UKOS,499217,171400,-0.5741156,51.4329262,BCT,MKD,OTH,,,,102,2004-12-01T00:00:00.000,2017-06-07T11:47:00.000,4,revise,active
