ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
2590B0001,blpadada,,,Abingdon Street,,Abingdon Street A1,,Abingdon Street A1,,Abingdon Street,,,,A1,,S,E0054826,Blackpool Town Centre,Blackpool,,Blackpool,,Town Centre,,true,UKOS,330810,436428,-3.052465159,53.819504936,BCT,MKD,TIP,,,,003,2004-10-18T00:00:00,2013-12-18T11:31:00,5,delete,inactive
2590B0002,blpadadg,,,Caunce Street,,,,Caunce Street,,Caunce Street,,,,Stand Z,,NE,N0079370,Central,Blackpool,,Blackpool,,Central,,false,UKOS,331136,436307,-3.047487068,53.818460929,BCT,MKD,TIP,,,,003,2004-10-18T00:00:00,2024-07-23T10:32:06,6,revise,inactive
2590B0003,blpadadj,,,Buchanan Street,,,,Church Street Buchanan Street,,Church Street,,,,by,,E,N0079370,Central,Blackpool,,Blackpool,,Central,,false,UKOS,331453,436329,-3.042677809,53.818700586,BCT,MKD,TIP,,,,003,2004-10-18T00:00:00,2020-01-27T08:27:05,3,revise,active
2590B0004,blpadadm,,,Devonshire Square,,,,Newton Drive Devonshire Square,,Newton Drive,,,,by,,NE,N0079367,Devonshire Square,Blackpool,,Blackpool,,Devonshire Square,,true,UKOS,331805,436347,-3.037336064,53.818908703,BCT,MKD,TIP,,,,003,2004-10-18T00:00:00,2020-01-24T11:33:30,6,revise,active
2590B0005,blpadadp,,,Collingwood Avenue,,,,Newton Drive Collingwood Avenue,,Newton Drive,,,,by,,E,E0035282,Layton,Blackpool,,Blackpool,,Layton,,false,UKOS,332114,436371,-3.032648526,53.819160354,BCT,MKD,TIP,,,,003,2004-10-18T00:00:00,2023-10-11T14:08:19,4,revise,active
2590B0007,blpadadt,,,Milton Avenue,,,,Newton Drive Milton Avenue,,Newton Drive,,,,by,,W,E0035280,Kingscote,Blackpool,,Blackpool,,Kingscote,,true,UKOS,332497,436508,-3.026862021,53.820441448,BCT,MKD,TIP,,,,003,2004-10-18T00:00:00,2024-01-09T07:22:31,3,revise,active
2590B0008,blpadadw,,,Torsway Avenue,,,,Newton Drive Torsway Avenue,,Newton Drive,,,,by,,NE,E0035280,Kingscote,Blackpool,,Blackpool,,Kingscote,,false,UKOS,332789,436648,-3.022458020,53.821741974,BCT,MKD,TIP,,,,003,2004-10-18T00:00:00,2020-01-27T09:59:53,4,revise,active
2590B0009,blpadaga,,,Lakeway,,,,Newton Drive Lakeway,,Newton Drive,,,,by,,NE,N0079368,St Walburgas,Blackpool,,Blackpool,,St Walburgas,,false,UKOS,332984,436742,-3.019516882,53.822611918,BCT,MKD,TIP,,,,003,2004-10-18T00:00:00,2020-05-26T11:15:33,4,revise,active
2590B0010,blpadagd,,,Regency Lodge,,,,Regency Lodge,,Whinney Heys Road,,,,by,,SE,N0079368,St Walburgas,Blackpool,,Fylde,,St Walburgas,,true,UKOS,333147,436764,-3.017045982,53.822830643,BCT,MKD,TIP,,,,003,2004-10-18T00:00:00,2020-01-24T12:14:47,4,revise,active
2590B0011,blpadagj,,,Victoria Hospital (To Poulton),,,,Victoria Hospital (To Poulton),,Victoria Hospital,,,,o/s,,SW,N0079369,Victoria Hospital,Blackpool,,Blackpool,,Victoria Hospital,,true,UKOS,333195,436591,-3.016279307,53.821282158,BCT,MKD,TIP,,,,003,2004-10-18T00:00:00,2020-01-24T12:03:41,4,revise,active
2590B0012,blpadagm,,,Victoria Hospital (To Blackpool),,,,Victoria Hospital (To Blackpool),,Victoria Hospital,,,,o/s,,W,N0079369,Victoria Hospital,Blackpool,,Blackpool,,Victoria Hospital,,true,UKOS,333170,436582,-3.016656943,53.821193536,BCT,MKD,TIP,,,,003,2004-10-18T00:00:00,2024-01-11T10:11:45,6,revise,active
2590B0013,blpadagp,,,St Walburgas Road,,,,Newton Drive St Walburgas Road,,Newton Drive,,,,by,,NE,N0079368,St Walburgas,Blackpool,,Fylde,,St Walburgas,,true,UKOS,333160,436859,-3.016869111,53.823681509,BCT,MKD,TIP,,,,003,2004-10-18T00:00:00,2024-01-11T09:34:38,3,revise,active
