ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
64800160,73727985,,,Aviva,,,,Aviva,,Pitheavlis,,,,opp,,NW,N0078836,Cherrybank,Perth,,,,,,0,UKOS,309764,722103,-3.462919,56.382559,BCT,MKD,PTP,,,,135,2009-06-17T00:00:00.000,2010-08-26T11:35:40.000,3,revise,active
64800161,73739795,,,Aviva,,,,Aviva,,Pitheavlis,,,,at,,SE,N0078836,Cherrybank,Perth,,,,,,0,UKOS,309762,722119,-3.462957,56.382702,BCT,MKD,PTP,,,,135,2009-06-17T00:00:00.000,2010-08-26T11:35:05.000,2,revise,active
64800162,73734234,,,Community Campus,,,,Community Campus,,Elm Drive,,,,at,,E,ES000389,Blairgowrie,,,,,,,0,UKOS,317634,743915,-3.342412,56.579897,BCT,MKD,PTP,,,,135,2009-06-24T00:00:00.000,2019-06-18T13:13:52.000,3,revise,active
64800163,73753732,,,Loch Leven Community Campus,,,,Community Campus,,Campus Rd,,,,at,,E,ES002134,Kinross,,,,,,,0,UKOS,311746,703513,-3.424605,56.215968,BCT,MKD,PTP,,,,135,2009-06-24T00:00:00.000,2016-03-10T15:48:23.000,3,revise,active
64800164,73745845,,,Castle Brae,,,,,,A85,,,,at,,E,N0077466,East Huntingtower,,,,,,,0,UKOS,308199,724912,-3.489239,56.407485,BCT,MKD,PPT,,,,135,2009-07-16T00:00:00.000,2009-07-16T00:00:00.000,0,new,active
64800165,73798934,,,Whitehouse,,,,Whitehouse,,Castle Brae,,,,at,,S,N0077466,East Huntingtower,,,,,,,0,UKOS,308248,724944,-3.488456,56.407782,BCT,CUS,PPT,,,,135,2009-07-16T00:00:00.000,2009-08-04T00:00:00.000,1,revise,active
64800175,73765465,,,Burnbank Meadows,,,,Health Centre,,Lethangie Road,,,,at,,W,ES002134,Kinross,,,,,,,0,UKOS,311724,703457,-3.424941,56.215461,BCT,CUS,PPT,,,,135,2009-10-12T00:00:00.000,2009-10-12T00:00:00.000,0,new,active
64800176,73784357,,,Glenturret Terrace,,,,,,Glendevon Road,,,,at,,NW,ES002646,Moncreiffe,Perth,,,,,,0,UKOS,311145,721681,-3.44042,56.37903,BCT,MKD,OTH,,,,135,2009-10-20T00:00:00.000,2010-08-26T12:19:57.000,2,revise,active
64800177,73787286,,,Primary School,,,,,,Gleneagles Road,,,,at,,SE,ES002646,Moncreiffe,Perth,,,,,,0,UKOS,311206,721671,-3.439429,56.378952,BCT,MKD,OTH,,,,135,2009-10-20T00:00:00.000,2010-08-26T12:20:29.000,3,revise,active
64800187,73753685,,,Croft Wynd,,,,Stirling Road Car Park,,Stirling Road,,,,at,,E,ES002622,Milnathort,,,,,,,0,UKOS,311925,704716,-3.42212,56.226806,BCT,MKD,OTH,,,,135,2009-12-17T00:00:00.000,2009-12-17T00:00:00.000,0,new,active
64800188,73732694,,,Croft Wynd,,,,Stirling Road Car park,,Stirling Road,,,,opp,,W,ES002622,Milnathort,,,,,,,0,UKOS,312013,704704,-3.420698,56.226715,BCT,MKD,OTH,,,,135,2009-12-17T00:00:00.000,2009-12-17T00:00:00.000,0,new,active
64800189,73748674,,,Perth Road,,,,,,Burleigh Road,,,,at,,SE,ES002622,Milnathort,,,,,,,0,UKOS,312363,704750,-3.41507,56.227192,BCT,MKD,OTH,,,,135,2009-12-17T00:00:00.000,2009-12-17T00:00:00.000,0,new,active
64800190,73748468,,,War Memorial,,,,War Memorial,,South Street,,,,at,,NE,ES002622,Milnathort,,,,,,,0,UKOS,311955,704541,-3.421578,56.22524,BCT,MKD,OTH,,,,135,2009-12-17T00:00:00.000,2009-12-17T00:00:00.000,0,new,active
64800191,73756982,,,Road End,,,,Glebe Drive,,A90,,,,at,,SW,ES001832,Inchture,,,,,,,0,UKOS,327968,728935,-3.170076,56.447052,BCT,MKD,PTP,,,,135,2010-01-15T00:00:00.000,2010-08-26T10:53:01.000,2,revise,active
64800192,73739693,,,Railway Station,,,,Railway Station,,Station Road,,,,opp,,NE,N0068281,Invergowrie,Dundee,,,,,,0,UKOS,334878,729858,-3.058238,56.456349,BCT,MKD,PPT,,,,135,2010-02-08T00:00:00.000,2017-10-24T16:11:33.000,2,revise,inactive
64800204,73734238,,,Rookery,,,,,,Gowans Terrace,,,,at,,N,N0073344,Muirton,Perth,,,,,,0,UKOS,311128,725098,-3.441855,56.409713,BCT,MKD,PTP,,,,135,2010-02-24T00:00:00.000,2021-12-07T08:47:59.001,3,revise,active
64800205,73745843,,,Rookery,,,,,,The Rookery,,,,opp,,S,N0073344,Muirton,Perth,,,,,,0,UKOS,311140,725085,-3.441645,56.409595,BCT,MKD,PTP,,,,135,2010-02-24T00:00:00.000,2021-09-13T15:11:09.503,3,revise,active
64800212,73762834,,,Pitkellony Street,,,,,,Willoughby Street,,,,at,,W,ES002741,Muthill,,,,,,,0,UKOS,286902,716671,-3.830624,56.328853,BCT,MKD,OTH,,,,135,2010-06-14T00:00:00.000,2010-06-14T00:00:00.000,0,new,active
64800213,73732372,,,Lintibert Road,,,,,,Willoughby Street,,,,opp,,E,ES002741,Muthill,,,,,,,0,UKOS,287008,716663,-3.828908,56.328806,BCT,MKD,OTH,,,,135,2010-06-14T00:00:00.000,2010-06-14T00:00:00.000,0,new,active
64800226,73745878,,,Inchfield Cottages,,,,,,B898,,,,at,,N,N0078877,Inchmagrannachan,,,,,,,0,UKOS,300068,744753,-3.628564,56.584003,BCT,MKD,OTH,,,,135,2010-07-08T00:00:00.000,2010-07-27T00:00:00.000,1,revise,active
64800227,73745876,,,Inchfield Cottages,,,,,,B898,,,,opp,,S,N0078877,Inchmagrannachan,,,,,,,0,UKOS,300090,744745,-3.628203,56.583936,BCT,CUS,OTH,,,,135,2010-07-08T00:00:00.000,2010-07-27T00:00:00.000,1,revise,active
64800228,73734243,,,Balgay Farm Road End,,,,,,A90,,,,at,,SW,ES001832,Inchture,,,,,,,0,UKOS,326463,727632,-3.194117,56.435116,BCT,MKD,OTH,,,,135,2010-07-09T00:00:00.000,2018-06-14T14:01:28.001,2,revise,inactive
64800238,73742686,,,Dunsinnan Road,,,,,,Old Church Road,,,,at,,W,N0073325,Wolfhill,,,,,,,0,UKOS,315569,733359,-3.372581,56.484727,BCT,MKD,TIP,,,,135,2010-08-02T16:37:05.000,2010-08-02T00:00:00.000,0,new,active
64800246,73762468,,,Stroma Court,,,,,,Bute Drive,,,,opp,,SE,ES002876,North Muirton,Perth,,,,,,0,UKOS,310813,725755,-3.447182,56.415557,BCT,MKD,TIP,,,,135,2010-10-08T08:22:17.000,2010-10-08T08:21:37.000,0,new,active
64800247,73798932,,,Stroma Court,,,,,,Bute Drive,,,,at,,NW,ES002876,North Muirton,Perth,,,,,,0,UKOS,310791,725751,-3.447537,56.415517,BCT,MKD,OTH,,,,135,2010-10-08T08:28:56.000,2010-10-08T08:28:15.000,0,new,active
64800258,73795832,,,Post Box,,,,,,U29,,,,opp,,NE,N0077453,Blacklunans,,,,,,,0,UKOS,314911,760464,-3.392191,56.728043,BCT,CUS,OTH,,,,135,2010-11-23T15:58:50.000,2018-06-14T14:01:08.000,2,revise,inactive
64800259,73762626,,,Fish Farm Road End,,,,,,U246,,,,opp,,NE,N0073260,Balado,,,,,,,0,UKOS,309596,702615,-3.458947,56.207496,BCT,CUS,OTH,,,,135,2010-11-23T16:03:04.000,2018-06-14T14:02:26.000,3,revise,inactive
64800262,73793247,,,Station Court,,,,,,Station Road,,,,opp,,E,N0068297,Murthly,,,,,,,0,UKOS,309973,738350,-3.465143,56.528514,BCT,MKD,OTH,,,,135,2011-04-20T10:41:48.000,2011-04-20T10:40:39.000,0,new,active
64800264,73739794,,,Station Court,,,,,,Station Road,,,,at,,W,N0068297,Murthly,,,,,,,0,UKOS,310035,738317,-3.464125,56.52823,BCT,MKD,OTH,,,,135,2011-04-20T10:43:53.000,2011-04-20T10:43:06.000,0,new,active
64800265,73736796,,,Scout Hall,,,,,,Forfar Road,,,,at,,NE,ES002580,Meigle,,,,,,,0,UKOS,328900,744666,-3.159268,56.588491,BCT,MKD,OTH,,,,135,2011-04-20T10:58:05.000,2015-12-01T14:14:08.000,3,revise,inactive
64800266,73783978,,,Scout Hall,,,,,,Forfar Road,,,,opp,,SW,ES002580,Meigle,,,,,,,0,UKOS,328877,744641,-3.159635,56.588263,BCT,MKD,OTH,,,,135,2011-04-20T11:02:59.000,2018-06-14T14:03:12.000,2,revise,inactive
64800267,73792868,,,Beechgrove Terrace,,,,,,Muirend Road,,,,opp,,E,ES000502,Burghmuir,Perth,,,,,,0,UKOS,309122,723649,-3.473848,56.39632,BCT,MKD,OTH,,,,135,2011-04-20T16:02:26.000,2018-02-20T14:54:46.001,4,revise,inactive
64800268,73794256,,,Beechgrove Terrace,,,,,,Muirend Road,,,,at,,W,ES000502,Burghmuir,Perth,,,,,,0,UKOS,309091,723637,-3.474346,56.396206,BCT,MKD,OTH,,,,135,2011-04-20T16:22:10.000,2018-02-20T14:55:06.000,3,revise,inactive
64800271,73739647,,,Concert Hall,,,,,,Mill Street,,,,at,,NE,ES003005,Perth,,,,,,,0,UKOS,311935,723781,-3.428338,56.398039,BCT,MKD,PTP,,,,135,2011-07-19T14:27:01.000,2025-06-25T10:39:09.021,4,revise,active
