ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
60301,45823684,,,Swarthoull,,Swarthoull,,Swarthoull,,Oversund Road,,,,at,,NE,ES002328,Lerwick,,,,,,,0,UKOS,446037,1140100,-1.172879,60.142832,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-25T12:26:35.000,2,revise,active
603010,45823696,,,Clickimin Road,,Clickimin Rd,,Clickimin Rd,,Clickimin Road,,,,opp 16,,W,ES002328,Lerwick,,,,,,,0,UKOS,446810,1140847,-1.158795,60.149453,BCT,MKD,TIP,,,,137,2013-08-16T00:00:00.000,2023-07-25T12:17:46.001,4,revise,active
6030100,45823875,,,Copister Rd End,,Copister Rd End,,Copister Rd End,,B9081,,,,at,,SW,N0067650,Ulsta,Yell,,,,,,0,UKOS,446451,1179682,-1.15632,60.498145,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-25T14:20:08.000,2,revise,active
6030101,45823876,,,Road End,,Rd End,,Road End,,B9081,,,,at,,E,N0080064,Houlland,Yell,,,,,,1,UKOS,450469,1179783,-1.083155,60.498572,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-24T16:52:49.000,2,revise,active
6030102,45823878,,,Hjarkland Rd End,,Hjarkland Rd End,,Hjarkland Rd End,,A968,,,,at,,N,N0067658,West Sandwick,Yell,,,,,,0,UKOS,445501,1189465,-1.17136,60.586081,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-25T14:37:55.000,3,revise,active
6030103,45823879,,,Clingrapark,,Clingrapark,,Clingrapark,,Minor Road,,,,at,,SE,N0067431,Camb,Yell,,,,,,1,UKOS,451520,1192365,-1.060775,60.611391,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-24T14:22:11.000,2,revise,active
6030104,45823892,,,Crossroads,,Crossroads,,Crossroads,,Minor Road,,,,at,,SE,N0067431,Camb,Yell,,,,,,0,UKOS,451319,1192493,-1.064397,60.612562,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-24T14:22:31.001,2,revise,active
6030105,45823893,,,Cullivoe Rd End,,Cullivoe Rd End,,Road End,,A968,,,,opp,,W,N0067519,Gutcher,Yell,,,,,,0,UKOS,454384,1198855,-1.006678,60.669275,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-24T16:42:50.000,2,revise,active
6030106,45823894,,,Primary School,,Primary Sch,,Primary School,,Greenbank Road,,,,opp,,W,N0080061,Greenbank,Yell,,,,,,1,UKOS,453710,1204096,-1.017579,60.716411,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-24T16:37:51.001,2,revise,active
6030107,45823895,,,Westing Rd End,,Westing Rd End,,Westing Rd End,,A968,,,,N-bound,,N,N0067653,Uyeasound,Unst,,,,,,0,UKOS,459060,1202937,-0.919897,60.705254,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-25T14:23:01.001,2,revise,active
6030108,45823896,,,Burnside Rd End,,Burnside Rd End,,Burnside Rd End,,Minor Road,,,,at,,E,N0067653,Uyeasound,Unst,,,,,,0,UKOS,459480,1201273,-0.912703,60.690258,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-25T14:21:52.000,2,revise,active
6030109,45823897,,,Nordalea,,Nordalea,,Nordalea,,A968,,,,opp,,NE,ES000266,Baltasound,Unst,,,,,,0,UKOS,461361,1208820,-0.875904,60.757714,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-24T13:29:39.001,2,revise,active
603011,45823697,,,Clickimin Road,,Clickimin Rd,,Clickimin Rd,,Clickimin Road,,,,opp 1,,SW,ES002328,Lerwick,,,,,,,0,UKOS,446975,1140935,-1.155798,60.150225,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-25T12:17:53.000,4,revise,active
6030110,45823898,,,Nikkavord Lea,,Nikkavord Lea,,Nikkavord Lea,,Minor Road,,,,at,,E,ES000266,Baltasound,Unst,,,,,,0,UKOS,461663,1209282,-0.870217,60.761816,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-24T13:29:02.000,2,revise,active
6030111,45823923,,,Police Station,,Police Stn,,Police Station,,A968,,,,opp,,E,ES000266,Baltasound,Unst,,,,,,0,UKOS,462290,1209425,-0.858664,60.763007,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-24T13:30:26.000,4,revise,active
6030112,45823924,,,Littlehamar Rd End,,Littlehamar Rd End,,Littlehamar Rd End,,A968,,,,at,,W,ES000266,Baltasound,Unst,,,,,,0,UKOS,463556,1209710,-0.835343,60.765359,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-24T13:28:21.001,2,revise,active
6030113,45823925,,,Millburn Park,,Millburn Pk,,Millburn Park,,A968,,,,opp,,SW,ES000266,Baltasound,Unst,,,,,,0,UKOS,462047,1208880,-0.863295,60.758151,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-24T13:28:41.001,2,revise,active
6030114,45823926,,,Taftens Rd End,,Taftens Rd End,,Taftens Rd End,,Minor Road,,,,at,,SE,N0080043,Valsgarth,Unst,,,,,,1,UKOS,464303,1213235,-0.820476,60.796887,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-25T14:24:14.000,2,revise,active
6030115,45823927,,,Nordabrake Rd End,,Nordabrake Rd End,,Nordabrake Rd End,,B9087,,,,at,,W,N0080040,Saxa Vord,Unst,,,,,,0,UKOS,464426,1213477,-0.818138,60.799032,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-25T13:54:09.001,2,revise,active
6030116,45823928,,,Brakefield Crescent,,Brakefield Cr,,Brakefield Crescent,,B9087,,,,at,,W,N0080040,Saxa Vord,Unst,,,,,,0,UKOS,464647,1213473,-0.814088,60.79896,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-25T13:52:29.000,2,revise,active
6030117,45823929,,,Road End,,Rd End,,Road End,,A970,,,,at,,N,N0067523,Hestingott,,,,,,,0,UKOS,439085,1111900,-1.303394,59.890359,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-24T16:49:47.001,2,revise,active
6030118,45823932,,,Horseshoe Close,,Horseshoe Cl,,Horseshoe Close,,Minor Road,,,,at,,E,ES001017,Toab,,,,,,,0,UKOS,438820,1111776,-1.3081407,59.8892718,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2013-08-23T00:00:00.000,1,revise,active
6030119,45823934,,,North Town Rd End,,N Town Rd End,,North Town Rd End,,A970,,,,S-bound,,S,N0067492,Exnaboe,,,,,,,0,UKOS,439114,1112370,-1.302776,59.894577,BCT,CUS,OTH,,,,137,2013-08-16T00:00:00.000,2021-04-28T21:47:34.000,2,revise,active
603012,45823698,,,Gilbert Bain Hospital,,Gilbert Bain Hosp,,Gilbert Bain Hospital,,South Road,,,,at,,NE,ES002328,Lerwick,,,,,,,0,UKOS,447041,1140984,-1.154608,60.150659,BCT,MKD,TIP,,,,137,2013-08-16T00:00:00.000,2023-07-25T12:19:00.001,2,revise,active
6030120,45823935,,,Turnibrae,,Turnibrae,,Turnibrae,,A970,,,,opp,,N,N0078611,Dunrossness,,,,,,,0,UKOS,439314,1115500,-1.2986101,59.9226609,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2013-08-23T00:00:00.000,1,revise,active
6030121,45823936,,,Road End,,Rd End,,Road End,,A970,,,,at,,S,ES003245,Sandwick,,,,,,,0,UKOS,442963,1126142,-1.231139,60.017853,BCT,MKD,TIP,,,,137,2013-08-16T00:00:00.000,2013-08-23T00:00:00.000,1,revise,active
6030122,45823937,,,Road End,,Rd End,,Road End,,A970,,,,opp,,N,N0080070,Mail,Cunningsburgh,,,,,,0,UKOS,442904,1128114,-1.231801,60.03556,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-25T12:33:05.001,2,revise,active
6030123,45823938,,,Road End,,Rd End,,Road End,,A970,,,,opp,,N,N0080074,Voxter,Cunningsburgh,,,,,,0,UKOS,443026,1128440,-1.229529,60.038478,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2013-08-23T00:00:00.000,1,revise,active
6030124,45823939,,,Blett Rd End,,Blett Rd End,,Blett Rd End,,A970,,,,at,,N,ES000944,Cunningsburgh,,,,,,,0,UKOS,443000,1128654,-1.229951,60.040402,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2013-08-23T00:00:00.000,1,revise,active
6030125,45823942,,,Gord Rd End,,Gord Rd End,,Gord Rd End,,A970,,,,opp,,NE,ES000944,Cunningsburgh,,,,,,,1,UKOS,443227,1130395,-1.225511,60.056009,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2013-08-23T00:00:00.000,1,revise,active
6030126,45823943,,,Road End,,Rd End,,Road End,,A970,,,,opp,,N,N0080067,Aithsetter,Cunningsburgh,,,,,,0,UKOS,443414,1130885,-1.222049,60.060389,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2013-08-23T00:00:00.000,1,revise,active
6030127,45823945,,,Road End,,Rd End,,Road End,,A970,,,,opp,,N,N0078516,Fladdabister,,,,,,,0,UKOS,442969,1132905,-1.229623,60.078569,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-24T16:34:29.000,2,revise,active
6030128,45823946,,,Toogs Rd End,,Toogs Rd End,,Toogs Rd End,,A970,,,,opp,,N,ES003746,Easter Quarff,,,,,,,0,UKOS,442773,1134812,-1.232753,60.095709,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-24T16:24:10.001,2,revise,active
6030129,45823947,,,Hillhead Rd End,,Hillhead Rd End,,Hillhead Rd End,,A970,,,,at,,N,ES003746,Easter Quarff,,,,,,,0,UKOS,442705,1135094,-1.233906,60.098252,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2013-08-23T00:00:00.000,1,revise,active
603013,45823723,,,Bell's Road,,Bell's Rd,,Bell's Road,,Scalloway Road,,,,at,,E,ES002328,Lerwick,,,,,,,0,UKOS,447189,1141104,-1.15191,60.151714,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-25T12:16:36.000,3,revise,active
6030130,45823948,,,South Rd End,,S Rd End,,South Rd End,,A970,,,,opp,,N,ES001688,Gulberwick,,,,,,,0,UKOS,443694,1137722,-1.215564,60.121742,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2021-04-28T21:58:44.000,2,revise,active
6030131,45823949,,,Central Park,,Central Pk,,Central Park,,Minor Road,,,,at,,NE,ES001688,Gulberwick,,,,,,,0,UKOS,443830,1137749,-1.213119,60.121968,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-24T16:39:54.001,2,revise,active
6030132,45823952,,,Skolla,,Skolla,,Skolla,,Minor Road,,,,at,,NE,ES001688,Gulberwick,,,,,,,1,UKOS,444029,1138173,-1.20944,60.125755,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2013-08-23T00:00:00.000,1,revise,active
6030133,45823953,,,Lower Hillside,,Lwr Hillside,,Lower Hillside,,Minor Road,,,,after,,N,ES001688,Gulberwick,,,,,,,1,UKOS,444149,1138525,-1.207208,60.128901,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-24T16:40:35.000,2,revise,active
6030134,45823954,,,Greenrig,,Greenrig,,Greenrig,,Minor Road,,,,nr,,E,ES001688,Gulberwick,,,,,,,0,UKOS,444433,1139204,-1.201953,60.134965,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-24T16:40:23.001,2,revise,active
6030135,45823956,,,Aith Crossroads,,Aith Crossrds,,Aith Crossroads,,Minor Road,,,,at,,S,N0080067,Aithsetter,Cunningsburgh,,,,,,0,UKOS,444335,1129743,-1.205757,60.050039,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-24T11:37:23.000,2,revise,active
6030136,45823957,,,Greenmow Crossroads,,Greenmow Crossrds,,Greenmow Crossroads,,Minor Road,,,,at,,W,ES000944,Cunningsburgh,,,,,,,0,UKOS,444175,1129382,-1.208714,60.046807,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-24T14:29:40.001,2,revise,active
6030137,45823958,,,Longwell Rd End,,Longwell Rd End,,Longwell Rd End,,Minor Road,,,,at,,S,ES000944,Cunningsburgh,,,,,,,0,UKOS,443734,1129092,-1.216684,60.044257,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2013-08-23T00:00:00.000,1,revise,active
6030138,45823959,,,Thistle Cottage,,Thistle Cott,,Thistle Cottage,,Minor Road,,,,opp,,N,ES003245,Sandwick,,,,,,,0,UKOS,443195,1125465,-1.227119,60.011751,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2013-08-23T00:00:00.000,1,revise,active
6030139,45823962,,,Veester Hill,,Veester Hill,,Veester Hill,,Minor Road,,,,at,,SW,ES003245,Sandwick,,,,,,,0,UKOS,443099,1124927,-1.228957,60.006928,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-25T13:51:57.000,2,revise,active
603014,45823724,,,Funeral Director,,Funeral Director,,Funeral Director,,Scalloway Road,,,,opp,,E,ES002328,Lerwick,,,,,,,0,UKOS,447349,1141126,-1.149024,60.151894,BCT,MKD,TIP,,,,137,2013-08-16T00:00:00.000,2023-07-25T12:18:41.001,2,revise,active
6030140,45823963,,,Brentfield Place,,Brentfield Pl,,Brentfield Place,,Minor Road,,,,at,,SW,ES003245,Sandwick,,,,,,,0,UKOS,442970,1124714,-1.231322,60.005029,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-25T13:51:08.001,2,revise,active
6030141,45823964,,,Public Hall,,Public Hall,,Public Hall,,Minor Road,,,,at,,SW,ES003245,Sandwick,,,,,,,1,UKOS,442745,1124457,-1.235404,60.002748,BCT,MKD,TIP,,,,137,2013-08-16T00:00:00.000,2023-07-25T13:51:30.001,2,revise,active
6030142,45823965,,,Bakery,,Bakery,,Bakery,,Minor Road,,,,opp,,E,ES003245,Sandwick,,,,,,,1,UKOS,442186,1124110,-1.245492,59.99969,BCT,MKD,OTH,,,,137,2013-08-16T00:00:00.000,2023-07-25T13:50:33.001,3,revise,active
