ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
61501,75272424,,,Peacock Cross,,,,Peacock Cross,,Wellhall Road,,,,at,,NE,ES001705,Hamilton,,,HAMILTON,,,,0,,271239,655709,,,BCT,MKD,OTH,,,,139,2003-08-27T00:00:00,2023-12-12T15:02:54,0,,active
615010,75234358,,,Royellen Avenue,,,,Royellen Avenue,,Wellhall Road,,,,Near,,SW,N0078732,Earnock,Hamilton,,HAMILTON,,,,0,,270052,654878,,,BCT,MKD,OTH,,,,139,2003-08-27T00:00:00,2023-12-12T15:02:54,0,,active
6150100,75234824,,,Arthur Street,,,,The Furlongs,,Bothwell Road,,,,Opp,,SE,ES001705,Hamilton,,,HAMILTON,,,,1,,271827,656086,,,BCT,MKD,OTH,,,,139,2003-08-27T00:00:00,2023-12-12T15:02:54,0,,active
61501000,75232936,,,Falkland Drive,,,,Falkland Drive,,Kirktonholme Road,,,,At,,SW,ES003836,West Mains,East Kilbride,,EAST KILBRIDE,,,,1,,262483,654439,,,BCT,MKD,OTH,,,,139,2003-08-27T00:00:00,2023-12-12T15:02:54,0,,active
61501001,75236363,,,Lindores Drive,,,,Lindores Drive,,Kirktonholme Road,,,,At,,NW,ES003836,West Mains,East Kilbride,,EAST KILBRIDE,,,,1,,262337,654476,,,BCT,MKD,OTH,,,,139,2003-08-27T00:00:00,2023-12-12T15:02:54,0,,active
61501002,75234726,,,Dunbar Hill,,,,Dunbar Hill,,Kirktonholme Road,,,,Opp,,E,ES003836,West Mains,East Kilbride,,EAST KILBRIDE,,,,1,,262154,654570,,,BCT,MKD,OTH,,,,139,2003-08-27T00:00:00,2023-12-12T15:02:54,0,,active
61501003,75236328,,,Dunbar Hill,,,,Dunbar Hill,,Kirktonholme Road,,,,At,,W,ES003836,West Mains,East Kilbride,,EAST KILBRIDE,,,,1,,262146,654564,,,BCT,MKD,OTH,,,,139,2003-08-27T00:00:00,2023-12-12T15:02:54,0,,active
61501004,75234967,,,Lindores Drive,,,,Lindores Drive,,Kirktonholme Road,,,,opp,,NE,ES003836,West Mains,East Kilbride,,EAST KILBRIDE,,,,1,,261979,654561,,,BCT,MKD,OTH,,,,139,2003-08-27T00:00:00,2023-12-12T15:02:54,0,,active
61501005,75236538,,,Lindores Drive,,,,Lindores Drive,,Kirktonholme Road,,,,Past,,SW,ES003836,West Mains,East Kilbride,,EAST KILBRIDE,,,,1,,261900,654530,,,BCT,MKD,OTH,,,,139,2003-08-27T00:00:00,2023-12-12T15:02:54,0,,active
61501006,75235845,,,Flakefield,,,,Flakefield,,Kirktonholme Road,,,,At,,N,ES003836,West Mains,East Kilbride,,EAST KILBRIDE,,,,1,,261749,654673,,,BCT,MKD,OTH,,,,139,2003-08-27T00:00:00,2023-12-12T15:02:54,0,,active
61501007,75232985,,,West Mains Road,,,,West Mains Road,,Kirktonholme Road,,,,At,,S,ES003836,West Mains,East Kilbride,,EAST KILBRIDE,,,,1,,261763,654755,,,BCT,MKD,OTH,,,,139,2003-08-27T00:00:00,2023-12-12T15:02:54,0,,active
61501008,75235792,,,Blacklands Road,,,,Blacklands Road,,Cornwall Street,,,,Opp,,SW,ES001222,East Kilbride,,,EAST KILBRIDE,,,,1,,262987,654162,,,BCT,MKD,OTH,,,,139,2003-08-27T00:00:00,2023-12-12T15:02:54,0,,active
61501009,75235946,,,Blacklands Road,,,,Blacklands Road,,Cornwall Street,,,,at,,SE,ES001222,East Kilbride,,,EAST KILBRIDE,,,,1,,262972,654175,,,BCT,MKD,OTH,,,,139,2003-08-27T00:00:00,2023-12-12T15:02:54,0,,active
6150101,75232364,,,Barrack Street,,,,Barrack Street,,Almada Street,,,,Near,,NE,ES001705,Hamilton,,,HAMILTON,,,,1,,271740,655904,,,BCT,MKD,OTH,,,,139,2003-08-27T00:00:00,2023-12-12T15:02:54,0,,inactive
61501010,75234398,,,Bus Station,,,,East Kilbride Shopping Centre,,Churchill Avenue,,,,stance 1,,SE,ES001222,East Kilbride,,,EAST KILBRIDE,,,,0,,263714,654096,,,BCS,MKD,OTH,,,,139,2003-08-27T00:00:00,2023-12-12T15:02:54,0,,active
61501011,75232597,,,Bus Station,,,,East Kilbride Shopping Centre,,Churchill Avenue,,,,stance 2,,SE,ES001222,East Kilbride,,,EAST KILBRIDE,,,,0,,263732,654083,,,BCS,MKD,OTH,,,,139,2003-08-27T00:00:00,2023-12-12T15:02:54,0,,active
