ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
250000358,lanadada,,,Capernwray Church,,,,Capernwray Church,,Borwick Road,,,,opp,,NW,E0015948,Capernwray,,,Lancaster,,Capernwray,,true,UKOS,354147,472262,-2.703424133,54.144132146,BCT,CUS,TIP,,,,087,2006-08-24T00:00:00,2011-01-13T10:26:00,1,revise,active
25000359,lanadadg,,,Capernwray Church,,,,Capernwray Church,,Borwick Road,,,,o/s,,SE,E0015948,Capernwray,,,Lancaster,,Capernwray,,true,UKOS,354194,472196,-2.702694660,54.143543222,BCT,CUS,TIP,,,,087,2006-08-24T00:00:00,2021-05-11T10:07:00,3,revise,active
250010001,lanadadj,,,East View Terrace,,East View Terrace,,East View Terrace,,Bolton Road,,,,o/s,,NW,E0015768,Abbey Village,,,Chorley,,Abbey Village,,false,UKOS,363854,422999,-2.548992946,53.702165149,BCT,MKD,TIP,,,,087,2006-08-24T00:00:00,2010-04-08T10:53:00,1,revise,active
250010003,lanadadm,,,Primary School,,Primary School,,Primary School,,Bolton Road,,,,opp,,SE,E0015768,Abbey Village,,,Chorley,,Abbey Village,,true,UKOS,364146,422592,-2.544522902,53.698527353,BCT,MKD,TIP,,,,087,2006-08-24T00:00:00,2017-05-22T11:15:45,2,revise,active
250010004,lanadadp,,,Station Terrace,,Station Terrace,,Station Terrace,,Bolton Road,,,,opp,,NW,E0015768,Abbey Village,,,Chorley,,Abbey Village,,false,UKOS,364002,422765,-2.546723981,53.700072286,BCT,MKD,TIP,,,,087,2006-08-24T00:00:00,2018-04-06T12:42:34,2,revise,active
250010005,lanadadt,,,Primary School,,Primary School,,Primary School,,Bolton Road,,,,o/s,,NW,E0015768,Abbey Village,,,Chorley,,Abbey Village,,true,UKOS,364148,422570,-2.544490059,53.698329761,BCT,MKD,TIP,,,,087,2006-08-24T00:00:00,2017-05-22T11:16:15,2,revise,active
250010006,lanadadw,,,Stanworth Terrace,,Stanworth Terrace,,Stanworth Terrace,,Bolton Road,,,,o/s,,N,E0015768,Abbey Village,,,Chorley,,Abbey Village,,false,UKOS,363604,423590,-2.552849238,53.707459446,BCT,MKD,TIP,,,,087,2006-08-24T00:00:00,2020-09-03T09:36:31,4,revise,active
25001001,lanadaga,,,William Mitchell,,,,Altham Road,,Westgate,,,,opp,,W,E0056128,Westgate,Morecambe,,Lancaster,,Westgate,,false,UKOS,344107,463071,-2.855399504,54.060541055,BCT,MKD,TIP,,,,087,2006-08-24T00:00:00,2016-06-22T10:10:00,2,revise,active
25001002,lanadagd,,,Hawkshead Drive,,Hawkshead Drive,,Gringley Road,,Gringley Road,,,,adj,,E,E0056128,Westgate,Morecambe,,Morecambe,,Westgate,,false,UKOS,344138,463340,-2.854975623,54.062961806,BCT,CUS,TIP,,,,087,2006-08-24T00:00:00,2010-05-06T09:22:00,2,revise,active
250010020,lanadagj,,,Warner Street,,Abbey Street,,Abbey Street,,Abbey Street,,,,by,,N,E0015874,Accrington,,,Hyndburn,,Accrington,,false,UKOS,376259,428455,-2.361516101,53.751917120,BCT,MKD,TIP,,,,087,2006-08-24T00:00:00,2016-04-26T10:29:00,2,revise,active
