ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
069000003706,wrgatjt,,,Staines Close,,Staines Close,,Staines Close,,Longwood Road,,,,cnr,,SE,E0042999,Dudlows Green,Warrington,,,,,,false,UKOS,362343,392681,-2.568213519,53.429559545,BCT,CUS,OTH,,,,063,2010-02-26T00:00:00,2024-09-25T09:53:15,9,revise,inactive
069000010180,wrgmdat,,,Academy Way Alighting Only,,Academy Way,,Bridge Street,,Academy Way,,,,nr,,NE,E0057278,Warrington,,,,,,,false,UKOS,360715,388012,-2.592130689,53.387479726,BCT,MKD,OTH,,,,063,2010-02-26T00:00:00,2024-12-11T15:31:40,15,revise,active
069000010181,wrgmdaw,,,Academy Way,,Academy Way,,Market,,Academy Way,,,,Stop DA,,NE,E0057278,Warrington,,,,,,,false,UKOS,360764,388045,-2.591398109,53.387779986,BCT,MKD,PTP,,,,063,2010-02-26T00:00:00,2013-11-19T09:53:43,5,revise,inactive
069000010182,wrgmdga,,,Academy Way,,Academy Way,,Market,,Academy Way,,,,Stop DB,,NE,E0057278,Warrington,,,,,,,false,UKOS,360771,388050,-2.591293490,53.387825448,BCT,MKD,PTP,,,,063,2010-02-26T00:00:00,2024-12-11T15:22:34,7,revise,active
069000010183,wrgmdgd,,,Academy Way,,Academy Way,,Bank Street,,Academy Way,,,,Stop DC,,NE,E0057278,Warrington,,,,,,,false,UKOS,360813,388086,-2.590666515,53.388152147,BCT,MKD,PTP,,,,063,2010-02-26T00:00:00,2013-11-26T08:10:12,5,revise,inactive
069000010220,wrgmdma,,,Hays House,,Hays House,,Hays House,,Sankey Street,,,,Stop AA,,W,E0057278,Warrington,,,,,,,false,UKOS,360346,388141,-2.597694675,53.388611534,BCT,CUS,OTH,,,,063,2010-02-26T00:00:00,2023-01-25T12:41:02,8,revise,inactive
069000010221,wrgmdtj,,,White Hart,,White Hart,,White Hart PH,,Sankey Street,,,,Stop AB,,E,E0057278,Warrington,,,,,,,true,UKOS,360417,388171,-2.596630968,53.388886518,BCT,MKD,OTH,,,,063,2010-02-26T00:00:00,2010-10-05T00:00:00,3,revise,active
069000010222,wrgmdtm,,,White Hart,,White Hart,,White Hart PH,,Sankey Street,,,,Stop AC,,E,E0057278,Warrington,,,,,,,true,UKOS,360401,388167,-2.596871025,53.388849363,BCT,MKD,OTH,,,,063,2010-02-26T00:00:00,2024-08-06T13:02:14,5,revise,inactive
069000010223,wrgmdmd,,,Legh Street,,Legh Street,,Old Car Park Site,,Legh Street,,,,Stop AE,,S,E0057278,Warrington,,,,,,,true,UKOS,360375,388231,-2.597269991,53.389422645,BCT,MKD,OTH,,,,063,2010-02-26T00:00:00,2010-06-29T00:00:00,4,revise,active
069000010240,wrgmdmj,,,Rylands Street,,Rylands Street,,Cairo Street,,Rylands Street,,,,Stop BA,,E,E0057278,Warrington,,,,,,,false,UKOS,360575,388052,-2.594240532,53.387828788,BCT,MKD,TIP,,,,063,2010-02-26T00:00:00,2024-08-06T13:01:21,7,revise,active
069000010250,wrgmdmp,,,Rylands Street,,Rylands Street,,Rylands Street,,Bridge Street,,,,Stop BB,,E,E0057278,Warrington,,,,,,,true,UKOS,360628,388064,-2.593445196,53.387940610,BCT,MKD,TIP,,,,063,2010-02-26T00:00:00,2010-10-05T00:00:00,4,revise,active
069000010260,wrgmdgp,,,Bridge Street,,Bridge Street,,Academy Way,,Bridge Street,,,,Stop CA,,S,E0057278,Warrington,,,,,,,false,UKOS,360719,387943,-2.592061942,53.386859846,BCT,MKD,TIP,,,,063,2010-02-26T00:00:00,2010-10-05T00:00:00,5,revise,inactive
069000010265,wrgmdgt,,,Bridge Street,,Bridge Street,,Moulders Lane,,Bridge Street,,,,Stop CB,,S,E0057278,Warrington,,,,,,,false,UKOS,360728,387921,-2.591923889,53.386662779,BCT,MKD,TIP,,,,063,2010-02-26T00:00:00,2010-10-05T00:00:00,4,revise,active
069000010280,wrgmdpw,,,Town Hall,,Town Hall,,Arpley Street,,Sankey Street,,,,Stop AD,,W,E0057278,Warrington,,,,,,,false,UKOS,360186,388137,-2.600099755,53.388563510,BCT,MKD,TIP,,,,063,2010-02-26T00:00:00,2011-09-26T15:21:19,3,revise,active
069000010310,wrgmdgw,,,Central Station,,Warrington Central,,Foundry Street,,Winwick Street,,,,Stop FA,,N,E0057278,Warrington,,,,,,,false,UKOS,360604,388605,-2.593873736,53.392801371,BCT,MKD,TIP,,,,063,2010-02-26T00:00:00,2010-07-15T00:00:00,6,revise,active
069000010311,wrgmdja,,,Central Station,,Warrington Central,,Winwick Street,,Foundry Street,,,,Stop FB,,N,E0057278,Warrington,,,,,,,false,UKOS,360599,388631,-2.593952172,53.393034687,BCT,MKD,TIP,,,,063,2010-02-26T00:00:00,2010-07-15T00:00:00,4,revise,active
069000010312,wrgmdtw,,,WRLFC Rugby Ground,,WRLFC Rugby Ground,,Lythgoes Lane,,Winwick Road,,,,o/s,,N,E0057278,Warrington,,,,,,,false,UKOS,360584,388917,-2.594213539,53.395604155,BCT,MKD,OTH,,,,063,2010-02-26T00:00:00,2010-04-21T00:00:00,2,revise,active
069000010340,wrgagwa,,,Owen Street,,Owen Street,,Watkin Street,,Winwick Road,,,,cnr,,N,E0042983,Bewsey,Warrington,,,,,,false,UKOS,360571,389244,-2.594450001,53.398542283,BCT,MKD,OTH,,,,063,2010-02-26T00:00:00,2010-05-04T00:00:00,2,revise,active
069000010341,wrgagwj,,,Tesco,,Warrington Tesco,,Tesco,,Winwick Road,,,,o/s,,N,E0042983,Bewsey,Warrington,,,,,,false,UKOS,360581,389067,-2.594277442,53.396952142,BCT,MKD,TIP,,,,063,2010-02-26T00:00:00,2010-05-18T00:00:00,3,revise,active
069000010345,wrgagtj,,,McDonalds,,McDonalds,,McDonalds,,Kerfoot Street,,,,o/s,,E,E0042983,Bewsey,Warrington,,,,,,false,UKOS,360505,389416,-2.595464128,53.400083283,BCT,MKD,OTH,,,,063,2010-02-26T00:00:00,2010-05-04T00:00:00,4,revise,active
069000010350,wrgagpw,,,Ireland Street,,Ireland Street,,Ireland Street,,Winwick Road,,,,opp,,N,E0043026,Longford,Warrington,,,,,,false,UKOS,360568,389530,-2.594530962,53.401112646,BCT,MKD,TIP,,,,063,2010-02-26T00:00:00,2010-04-20T00:00:00,2,revise,active
069000010360,wrgdjgj,,,Alder Lane,,Alder Lane,,Alder Lane,,Winwick Road,,,,opp,,N,E0043026,Longford,Warrington,,,,,,false,UKOS,360567,389920,-2.594594892,53.404617918,BCT,MKD,TIP,,,,063,2010-02-26T00:00:00,2010-04-16T00:00:00,1,revise,active
069000010370,wrgdjpt,,,Winwick Road College,,Winwick Rd College,,Hawley's Lane,,Winwick Road,,,,opp,,N,E0043026,Longford,Warrington,,,,,,false,UKOS,360555,390182,-2.594808240,53.406971891,BCT,MKD,PPT,,,,063,2010-02-26T00:00:00,2010-03-29T00:00:00,1,revise,active
069000010371,wrgdjta,,,Winwick Road Campus,,Winwick Road Campus,,Northway,,Long Lane,,,,opp,,E,E0043026,Longford,Warrington,,,,,,false,UKOS,360761,390349,-2.591730549,53.408488298,BCT,MKD,OTH,,,,063,2010-02-26T00:00:00,2010-03-29T00:00:00,1,revise,active
069000010372,wrgdjpd,,,Sandy Lane,,Sandy Lane,,Sandy Lane,,Statham Avenue,,,,by,,W,E0043026,Longford,Warrington,,,,,,false,UKOS,361097,390790,-2.586736000,53.412474000,BCT,MKD,OTH,,,,063,2010-02-26T00:00:00,2023-01-31T09:21:24,3,revise,active
069000010380,wrgdjga,,,Alban Retail Park,,Alban Retail Park,,Alban Retail Park,,Winwick Road,,,,o/s,,NW,E0043026,Longford,Warrington,,,,,,false,UKOS,360460,390397,-2.596264206,53.408897194,BCT,MKD,OTH,,,,063,2010-02-26T00:00:00,2010-04-16T00:00:00,1,revise,active
069000010390,wrgdatp,,,Sandy Lane West,,Sandy Lane West,,Sandy Lane West,,Winwick Road,,,,N-bound,,N,E0043019,Hulme,Warrington,,,,,,false,UKOS,360347,390895,-2.598026769,53.413364740,BCT,MKD,OTH,,,,063,2010-02-26T00:00:00,2010-04-21T00:00:00,1,revise,active
069000010400,wrgdapw,,,Mill Lane,,Mill Lane,,Cameron Court,,Newton Road,,,,cnr,,N,E0043019,Hulme,Warrington,,,,,,false,UKOS,360310,391520,-2.598662307,53.418979476,BCT,MKD,OTH,,,,063,2010-02-26T00:00:00,2010-04-21T00:00:00,1,revise,active
069000010410,wrgmamt,,,B&Q,,Winwick B&Q,,B&Q,,Newton Road,,,,o/s,,N,E0053814,Winwick,Warrington,,,,,,false,UKOS,360338,392108,-2.598315252,53.424266551,BCT,MKD,PPT,,,,063,2010-02-26T00:00:00,2021-04-28T13:20:42,6,revise,active
069000010420,wrgmapd,,,St Oswald Church,,Winwick Church,,St Oswald Church,,Newton Road,,,,opp,,NW,E0053814,Winwick,Warrington,,,,,,true,UKOS,360265,392913,-2.599515559,53.431496398,BCT,MKD,PTP,,,,063,2010-02-26T00:00:00,2010-04-27T00:00:00,2,revise,active
069000010421,wrgmamj,,,Old School House Lane,,Old School House Ln,,Old School House Lane,,Newton Road,,,,opp,,NW,E0053814,Winwick,Warrington,,,,,,false,UKOS,360089,393178,-2.602198047,53.433864891,BCT,MKD,OTH,,,,063,2010-02-26T00:00:00,2010-04-21T00:00:00,2,revise,active
069000010422,wrgawgj,,,Cop Holt Farm,,Cop Holt Farm,,Cop Holt Farm,,Newton Road,,,,o/s,,NW,E0043009,Hermitage Green,Winwick,,,,,,false,UKOS,359748,393684,-2.607395266,53.438386822,BCT,MKD,OTH,,,,063,2010-02-26T00:00:00,2010-03-26T00:00:00,1,revise,active
069000010423,wrgmapa,,,St Oswald Church,,Winwick Church,,St Oswald Church,,Hollins Lane,,,,nr,,W,E0053814,Winwick,Warrington,,,,,,true,UKOS,360232,392835,-2.600002332,53.430792838,BCT,MKD,OTH,,,,063,2010-02-26T00:00:00,2010-05-04T00:00:00,3,revise,active
069000010430,wrgmapt,,,Winwick Park,,Winwick Park,,Hollins Drive,,Hollins Lane,,,,opp,,W,E0053814,Winwick,Warrington,,,,,,false,UKOS,360052,392808,-2.602707859,53.430536518,BCT,MKD,OTH,,,,063,2010-02-26T00:00:00,2010-03-29T00:00:00,1,revise,active
069000010440,wrgmajw,,,Hollins Park Hospital,,Hollins Pk Hospital,,Hollins Park Hospital,,Hollins Lane,,,,o/s,,W,E0053814,Winwick,Warrington,,,,,,false,UKOS,359618,392734,-2.609229905,53.429838256,BCT,MKD,TIP,,,,063,2010-02-26T00:00:00,2010-12-16T00:00:00,3,revise,active
069000010450,wrgadmp,,,Watery Lane,,Watery Lane,,Lower Alder Root Farm,,Hollins Lane,,,,cnr,,NW,E0053814,Winwick,Warrington,,,,,,false,UKOS,359203,392800,-2.615483986,53.430399432,BCT,MKD,OTH,,,,063,2010-02-26T00:00:00,2010-05-04T00:00:00,2,revise,active
069000010460,wrgadmj,,,Fiddle in Bag,,Fiddle in Bag,,Fiddle In Bag,,Alder Lane,,,,opp,,W,E0053800,Burtonwood,Warrington,,,,,,false,UKOS,358505,392919,-2.626004319,53.431414389,BCT,MKD,OTH,,,,063,2010-02-26T00:00:00,2010-04-21T00:00:00,2,revise,active
069000010470,wrgadmd,,,Coopers Farm,,Coopers Farm,,Coopers Farm,,Alder Lane,,,,o/s,,W,E0053800,Burtonwood,Warrington,,,,,,false,UKOS,358093,393022,-2.632218631,53.432307479,BCT,MKD,OTH,,,,063,2010-02-26T00:00:00,2010-03-26T00:00:00,1,revise,active
069000010480,wrgjgda,,,Fir Tree Lane,,Fir Tree Lane,,Fir Tree Lane,,Alder Lane,,,,cnr,,W,E0053800,Burtonwood,Warrington,,,,,,false,UKOS,357151,393055,-2.646400424,53.432528172,BCT,MKD,OTH,,,,063,2010-02-26T00:00:00,2010-05-04T00:00:00,4,revise,active
069000010490,wrgamwp,,,Bold Lane,,Bold Lane,,Bold Lane,,Broad Lane,,,,SE-bound,,SE,E0042994,Collins Green,Burtonwood,,,,,,false,UKOS,355918,393829,-2.665066004,53.439382901,BCT,CUS,OTH,,,,063,2010-02-26T00:00:00,2010-04-27T00:00:00,2,revise,active
